2hv6_A	_0_b_7_i_4_e_3_c_3_l	_3_c_7_i_7_d_1_f_4_j	0.630
1sev_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_8_j_1_g_0_-_8_n_4_G_7_H_2_D	0.583
5d8z_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_28_i_5_E_1_d_0_-_9_l_3_E_4_A	0.586
2dlx_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_0_f_6_F_6_f_4_h_1_F_3_i_6_D_8_B	0.355
5xd0_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_16_b_2_j_0_-_0_-_3_n_10_C_2_C	0.535
2gcu_C	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_3_k_3_E_11_f_4_D_0_b_0_-_5_B_4_C	0.360
2vrs_B	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_0_-_7_c_3_c_0_-_3_H_2_K_2_F	0.406
4f3f_C	_0_b_7_i_4_e_3_c_3_l	_0_d_2_f_2_e_1_e_4_k	0.697
1dmt_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_5_k_1_D_3_c_1_f_10_m_21_B_4_D	0.550
1ht6_A	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_0_-_0_-_2_D	_1_b_2_C_1_i_4_c_9_c_1_b_0_C_16_k_3_D_0_d_4_k_8_F	0.423
2afb_B	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_3_b_3_l_2_D_9_e_8_C_1_g_9_l_3_C_1_B_5_D	0.484
4wd0_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_0_c_4_i_3_D_5_h_4_C_1_d_1_k_0_G_2_A_11_j_4_D	0.411
1pkx_B	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_0_-_3_l_0_-_2_D_0_-_2_D	_5_b_6_g_4_i_4_F_3_e_5_e_4_j_5_B_2_k_7_s_5_C_10_C_7_D	0.370
2zz8_A	_4_e_3_c_0_-_3_l_2_D_2_D	_1_d_2_d_7_E_5_h_9_C_7_D	0.517
1qho_A	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_5_b_3_b_18_e_1_f_3_C_3_B_16_F_6_k_3_E_3_E	0.409
1w6g_A	_0_b_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_c_6_j_3_h_4_b_0_F_6_b_4_G_7_b_5_E	0.392
4wfa_W	_7_i_0_-_4_e_3_c_3_l_2_D	_8_h_8_D_2_h_1_b_0_-_0_B	0.380
2bg5_D	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D	_2_b_8_k_5_B_11_b_5_b_4_e_1_m_2_A	0.425
3gbz_A	_0_b_0_-_7_i_4_e_3_c_3_l	_9_b_0_C_3_C_4_d_7_c_8_l	0.455
5hvo_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_6_i_6_B_4_c_12_c_10_o_5_D_1_b_2_h_8_D	0.471
7dke_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_9_f_4_j_7_f_4_e_3_x_13_F_2_B	0.443
3i6x_A	_0_b_7_i_4_e_3_c_3_l	_6_g_3_i_6_b_6_d_4_m	0.600
4qjb_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_3_b_0_C_4_B_4_i_4_A_2_e_4_D_2_k_4_D_4_E	0.452
4icn_B	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_12_k_4_C_2_b_1_b_2_l_5_C_5_h_8_D	0.488
4h98_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_8_j_7_F_0_e_0_-_0_-_11_D_8_C	0.467
1v93_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_2_k_4_D_6_k_4_C_21_l_1_E_10_k_4_E	0.369
4uhm_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_0_-_0_-_3_l_0_-_2_D_2_D	_1_b_0_E_15_j_2_D_13_d_5_C_1_c_6_E_0_g_20_l_2_m_7_F_2_E	0.375
1aih_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_7_j_3_d_6_A_2_D_6_D	0.583
2fck_A	_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_3_j_0_-_4_b_6_l_4_A_1_C_9_C	0.614
3i1i_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l	_16_b_6_g_1_e_8_e_6_f_8_b_7_j	0.455
4wpg_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_8_b_3_d_5_j_2_F_0_b_0_-_21_l_3_E_2_A_6_h_4_D	0.437
3tr8_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_4_c_3_h_2_e_0_-_5_j_10_B_3_h_2_d_4_B	0.447
7wa4_B	_7_i_4_e_3_c_3_l_2_D_2_D	_1_f_3_c_4_b_9_k_3_G_5_J	0.464
1miw_A	_0_b_7_i_4_e_3_c_0_-_0_-_3_l	_9_b_3_i_13_h_2_b_3_j_4_f_4_l	0.463
1wf3_A	_0_b_7_i_0_-_4_e_3_c_3_l	_1_b_3_i_5_C_5_j_0_-_20_l	0.541
1gqe_A	_0_b_0_-_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_11_b_0_E_15_E_5_C_5_f_4_e_2_d_0_-_14_E_0_b_1_C	0.394
6l31_C	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_c_0_-_8_c_4_A_2_d_0_-_11_D_1_E_30_D	0.477
4yyw_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_0_c_15_l_7_f_3_b_7_j_19_c_8_C_5_i_2_D	0.458
2xr1_A	_0_b_7_i_4_e_0_-_0_-_3_c_0_-_0_-_0_-_3_l_2_D_2_D	_1_b_3_j_2_b_1_E_5_E_2_d_4_i_2_E_6_j_1_l_11_E_8_D	0.394
7req_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_6_b_1_i_4_j_12_d_4_m_4_D_8_j_3_C	0.700
3sft_A	_4_e_3_c_0_-_3_l_2_D_2_D	_3_d_3_b_8_D_6_j_3_C_10_C	0.512
3vue_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_0_g_2_C_2_g_18_A_26_l_10_D_4_b_1_j_5_D	0.382
6ea3_B	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_4_b_1_j_3_C_1_g_2_d_5_D_5_i_4_E_2_b_4_E	0.480
2km1_A	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_1_c_2_k_2_G_0_e_12_C_11_g_8_A_3_i_1_C_5_D	0.402
5ui2_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_24_b_5_A_4_j_0_-_3_d_0_-_2_G_6_A	0.388
2idr_A	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_0_b_12_F_5_j_0_-_6_b_0_G_4_F_5_l_6_C_0_d_9_B	0.393
4cbv_B	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_9_j_4_E_2_e_0_-_9_C_7_j_10_E_2_E	0.470
6ovi_A	_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_e_0_-_3_D_4_k_4_D_5_j_4_D	0.455
4oon_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_e_3_j_1_h_5_b_4_d_6_j_10_D_5_C	0.619
2q46_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_13_j_3_F_8_f_0_-_2_k_4_E_1_B_8_C	0.477
3ur7_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_4_b_1_A_1_l_4_C_2_f_6_c_14_k_8_E_11_l_14_B	0.459
7f3h_D	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_1_d_13_c_1_c_13_b_4_m_0_C_8_B	0.595
1m33_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_b_0_F_16_p_7_k_5_k_5_c_0_-_3_E_7_b_10_D	0.375
1q6z_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_0_-_2_D_0_-_2_D	_0_b_0_-_6_e_12_k_4_C_1_d_3_j_3_B_15_C_4_g_4_D	0.418
6lla_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_2_b_12_F_8_h_3_F_3_b_2_k_7_E_1_l_2_E_2_a_9_E	0.368
2d2i_A	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D_0_-_2_D	_20_b_2_C_2_g_0_-_1_b_3_G_5_H_5_k_6_C_5_c_6_C	0.372
4p6i_C	_0_b_0_-_7_i_4_e_3_c_3_l	_13_b_2_p_16_i_4_i_5_l_2_l	0.426
6nqb_H	_7_i_4_e_3_c_3_l_2_D_2_D	_0_g_8_A_0_-_5_i_7_D_5_D	0.417
1ddl_A	_0_b_7_i_0_-_0_-_4_e_3_c_3_l_2_D_2_D	_0_b_1_f_2_L_8_H_6_e_0_-_0_-_4_D_9_C	0.445
5swc_D	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_0_-_2_D_2_D	_6_c_7_E_13_f_9_F_3_e_2_c_4_n_5_n_3_h_3_G_4_E	0.370
3j80_E	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_19_b_3_f_7_h_0_-_3_B_16_C	0.434
3svt_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_10_b_2_g_5_l_3_E_2_c_7_p_1_G_2_A	0.415
1jqn_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_3_b_5_h_6_F_0_l_4_b_2_k_13_l_5_F_4_j_9_D	0.435
2hbk_A	_0_b_7_i_4_e_3_c_3_l	_3_c_2_i_4_d_7_d_1_l	0.875
1y6j_A	_7_i_0_-_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_3_j_5_D_5_e_9_B_2_c_4_C_5_o_4_C_4_j_6_B	0.353
4cp8_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_3_l_0_-_2_D	_1_b_6_l_2_E_2_j_1_h_1_e_1_b_2_j_2_o_4_D	0.353
1jb7_B	_7_i_4_e_3_c_3_l_2_D_2_D	_0_j_4_b_2_b_0_-_3_F_5_B	0.448
1wfr_A	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_k_1_e_4_G_3_b_0_-_5_G_2_C	0.452
2uxq_B	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_7_j_5_f_3_D_0_g_7_C_1_l_5_E_5_C	0.500
3m5u_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_8_b_2_j_2_d_5_B_3_b_0_-_4_D_5_j_13_B	0.558
1s3g_A	_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_0_j_2_j_5_j_8_C_5_k_6_E_2_h_1_C	0.370
2a2l_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_4_b_1_b_9_b_1_b_0_-_7_D_4_G	0.429
5lc5_L	_0_b_7_i_4_e_3_c_3_l	_9_f_2_h_1_j_2_d_1_p	0.411
1m4u_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_b_2_j_5_A_11_j_8_c_17_l_4_E_4_A_2_E	0.664
1i1g_A	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_2_D	_0_j_5_g_3_k_12_b_3_H_1_k_3_C_8_F	0.451
3zih_B	_7_i_4_e_3_c_3_l_2_D_2_D	_4_j_3_D_0_-_5_m_2_E_2_D	0.484
5z33_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_3_l	_8_c_5_i_4_b_3_d_2_b_5_b_10_c_3_n	0.396
2h92_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_1_b_4_i_0_-_0_-_2_l_4_D_12_E	0.640
2vqr_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D	_10_b_10_D_2_j_8_d_19_b_1_l_5_D	0.728
1ve4_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_2_i_5_C_5_d_5_E_3_d_0_-_3_H_1_D	0.456
2ge7_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_9_c_13_h_1_f_5_f_0_-_1_F_2_F	0.550
3kf8_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_b_1_C_4_B_1_e_6_B_2_d_5_i_4_B_2_B	0.394
2bo9_A	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_0_-_2_D	_4_h_1_D_4_h_21_b_28_k_2_H_3_C_11_n_4_C	0.375
3eof_B	_7_i_0_-_4_e_3_c_3_l_2_D	_2_j_9_G_1_g_12_c_2_k_3_D	0.602
1ji3_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_18_b_9_h_2_c_4_d_1_i_7_F_2_B	0.692
1m4i_A	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_0_b_2_k_6_e_4_F_2_L_2_K_1_b_4_l_2_D_5_e_3_A_4_D	0.413
1xvi_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_b_2_g_3_g_5_D_3_k_2_D_4_D	0.644
1vma_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_j_5_f_6_k_4_j_6_j_14_E_6_k_4_E	0.379
1xkt_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_9_l_4_g_5_k_7_m_12_E_9_b_5_E	0.420
6vpv_a	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_18_c_5_g_4_c_3_t_3_e_0_-_7_B_6_d_1_A_5_C	0.388
5u0h_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_0_m_1_d_11_d_4_l_10_B_9_b_5_B	0.555
4jrh_A	_0_b_0_-_7_i_4_e_3_c_0_-_0_-_3_l_2_D	_8_b_0_E_5_k_1_b_4_d_3_i_5_A_4_m_4_G	0.364
1ji8_A	_0_b_7_i_4_e_3_c_3_l	_2_b_2_j_7_k_12_c_4_f	0.506
1p49_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_3_l_0_-_2_D_2_D	_3_c_26_f_3_F_16_b_4_D_5_b_8_c_5_m_7_s_2_B_2_D	0.361
2hel_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_11_b_2_d_5_l_11_i_11_i_4_b_3_k	0.403
5v7q_F	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_0_k_10_H_2_b_0_-_4_k_5_C_14_G	0.393
2i9w_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_13_b_2_h_12_g_2_e_3_c_4_i_1_J_6_J_2_L_6_D	0.416
4gfp_A	_0_b_7_i_0_-_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_2_b_1_h_2_C_4_F_10_b_5_h_4_D_3_l_4_C_2_D	0.453
4xjc_A	_7_i_4_e_3_c_3_l_2_D_2_D	_0_h_4_B_3_b_0_-_5_D_2_D	0.418
2avd_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_2_i_6_E_6_j_0_I_3_e_6_l_3_E_5_F	0.492
1r5a_A	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_4_j_4_D_6_b_1_c_0_-_9_C_2_C	0.528
3qsg_A	_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_4_i_8_f_2_C_6_j_5_C_5_k_4_E_7_b_1_D	0.392
7kg2_F	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_1_k_4_B_7_b_2_l_5_D_5_k_4_D	0.501
5lnt_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_13_b_4_D_2_i_3_D_8_m_3_i_4_i_5_D_5_h_4_C	0.359
4ags_B	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_5_k_15_e_3_c_5_j_12_C_4_j_5_B	0.586
5o0j_A	_7_i_4_e_3_c_3_l_2_D_2_D	_1_i_3_g_0_-_6_l_3_E_2_E	0.696
2w7q_B	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_0_c_0_-_4_e_2_c_0_-_4_F_2_F	0.480
1ujp_A	_0_b_7_i_0_-_0_-_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_5_b_1_i_2_B_1_A_5_g_6_C_4_g_0_-_6_C_5_f_4_C	0.350
7vkm_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_1_b_2_e_4_l_12_i_11_i_4_b_3_k	0.402
2cmu_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_5_c_6_i_7_A_6_b_0_B_4_D_0_c_10_d_9_D_13_b_1_D	0.382
4ogp_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_3_c_3_i_8_j_3_i_1_o_6_r_2_C_2_C	0.442
3n26_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_1_k_2_E_2_h_5_F_2_c_0_-_3_E_5_F	0.394
7rca_A	_0_b_0_-_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_9_b_4_n_2_H_2_A_7_h_2_e_0_-_8_l_6_G_13_i_4_E	0.394
2d1g_B	_0_b_0_-_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_14_b_9_B_1_g_6_D_2_b_8_m_3_b_0_F_31_C	0.439
4wzh_A	_0_b_7_i_0_-_4_e_0_-_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_3_b_1_k_4_D_5_j_5_E_3_D_12_c_0_E_0_m_4_D_5_i_3_C	0.368
6mny_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l	_6_b_2_e_4_l_11_i_11_j_3_b_3_k	0.386
5xeq_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_9_j_6_j_4_E_20_c_2_b_12_n_25_C_4_B	0.523
2z6d_B	_7_i_4_e_3_c_3_l_2_D_2_D	_1_f_3_c_4_c_6_j_4_G_5_J	0.484
2xhe_A	_4_e_3_c_3_l_2_D_0_-_2_D	_5_e_3_b_2_l_4_C_5_m_14_D	0.650
4ipl_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D	_2_c_10_l_3_F_5_f_1_b_2_l_6_E	0.516
5tck_A	_0_b_0_-_7_i_4_e_3_c_3_l	_4_b_7_c_1_i_6_i_0_-_19_m	0.538
4go3_A	_0_b_7_i_4_e_3_c_0_-_0_-_0_-_3_l_2_D_0_-_2_D	_3_b_5_j_0_-_2_b_3_B_5_H_2_D_5_k_3_D_6_k_6_B	0.368
2j87_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_1_b_3_i_3_D_14_d_0_-_0_-_3_C_2_A_6_A_1_C	0.458
5ab0_C	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_1_b_1_j_14_e_9_r_2_B_1_h_4_j_5_G_2_G	0.417
2fxt_A	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_5_i_12_i_5_e_6_h_3_f_2_l_2_A_2_B	0.538
4a9a_A	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_1_b_4_j_2_F_0_-_3_k_2_B_6_D_5_D	0.531
2zjr_P	_0_b_7_i_4_e_3_c_3_l_0_-_2_D_2_D	_3_i_5_i_5_g_3_c_7_b_0_I_3_E_5_E	0.488
1eu1_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_3_c_3_i_2_E_4_c_3_D_2_b_0_-_2_D_6_D	0.547
6eem_A	_0_b_0_-_0_-_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_3_b_5_k_3_H_10_h_4_D_3_e_1_f_2_b_2_D_0_c_7_D	0.383
1cvu_A	_0_b_7_i_4_e_3_c_3_l	_8_d_3_i_2_b_2_f_10_l	0.633
1yu0_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_7_c_7_A_25_i_7_g_27_c_0_-_13_J_18_E	0.510
6aqe_A	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D	_1_c_5_n_2_H_2_k_1_e_2_g_1_k_6_D	0.413
2bdz_A	_7_i_4_e_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_4_i_0_-_2_D_4_c_5_A_0_-_9_G_3_D_11_D	0.390
1g60_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_8_b_6_j_20_A_0_-_7_j_5_C_6_g_3_E	0.485
5ccb_B	_0_b_0_-_0_-_7_i_4_e_3_c_3_l_2_D_0_-_0_-_0_-_2_D	_0_b_10_A_4_A_26_h_5_h_4_b_2_l_4_B_3_j_1_c_4_i_7_E	0.380
2o5h_A	_7_i_4_e_3_c_3_l_2_D_0_-_0_-_2_D	_3_j_0_-_0_-_3_m_3_D_2_A_4_j_22_D	0.470
1tlt_A	_0_b_0_-_7_i_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_10_d_4_F_6_g_0_-_7_d_4_C_5_j_3_D_6_k_4_C	0.422
1qgo_A	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_5_b_6_g_5_E_2_j_6_i_4_E_6_l_2_C_7_j_9_F	0.424
4h18_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_11_c_2_g_2_D_15_b_5_a_7_f_6_E_2_j_6_D	0.433
1zhx_A	_0_b_0_-_7_i_4_e_3_c_3_l_2_D_2_D	_4_b_0_D_0_g_3_h_5_b_10_r_4_B_6_E	0.521
3cwc_B	_0_b_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_12_b_2_f_2_B_1_g_2_e_3_C_12_j_5_F_7_E	0.502
4gmp_1	_0_b_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_2_b_0_-_3_d_0_-_2_L_9_E_0_-_22_D_5_D	0.361
1sqw_A	_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_1_i_3_C_1_f_5_A_0_b_0_-_0_C_8_E	0.486
6fzt_A	_4_e_3_c_3_l_0_-_2_D_2_D	_0_f_0_-_6_m_5_i_9_B_6_B	0.428
5w1u_B	_0_b_7_i_4_e_0_-_0_-_0_-_3_c_3_l_0_-_2_D_2_D	_5_b_8_l_11_f_6_k_4_E_8_a_16_c_14_n_5_e_14_E_2_E	0.388
1onf_A	_0_b_0_-_7_i_4_e_0_-_3_c_3_l_0_-_2_D_2_D	_0_c_7_D_3_j_0_-_4_D_0_-_11_k_3_B_4_E_5_D	0.386
5ctm_B	_0_b_7_i_0_-_4_e_0_-_3_c_0_-_3_l_0_-_2_D_2_D	_6_b_2_h_8_A_9_b_3_A_0_e_3_o_24_k_6_i_1_D_2_I	0.353
1jdf_A	_0_b_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_5_b_0_-_13_d_0_-_7_l_4_C_5_k_5_C	0.566
3s2u_A	_7_i_0_-_4_e_3_c_0_-_3_l_2_D_0_-_2_D	_4_l_3_E_5_c_1_b_3_B_3_m_3_C_5_i_4_D	0.391
3vba_A	_0_b_0_-_7_i_0_-_4_e_0_-_3_c_3_l_2_D_2_D	_8_c_5_C_11_g_4_C_4_h_4_B_3_c_0_-_5_D_4_C	0.451
1y4h_A	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_15_k_6_g_8_b_4_i_5_C_4_h_4_F	0.451
6zcv_A	_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_0_e_19_A_9_b_0_-_1_F_13_B_2_E	0.403
2q74_A	_0_b_0_-_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_8_b_1_E_6_k_2_B_4_i_4_F_1_k_3_C_3_E	0.376
2od4_A	_4_e_3_c_3_l_2_D_2_D	_3_c_2_b_5_f_3_B_10_B	0.410
1vyv_A	_7_i_4_e_0_-_3_c_3_l_2_D_0_-_2_D	_12_i_0_-_4_E_3_b_4_l_4_E_5_c_7_D	0.543
7p6l_D	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_0_c_3_f_5_c_1_i_10_b_4_m_0_D_8_B	0.599
2qkq_A	_0_b_7_i_4_e_3_c_3_l	_0_f_3_h_5_c_4_f_4_j	0.532
6xgc_C	_4_e_3_c_0_-_3_l_2_D_2_D	_5_d_3_b_11_B_16_f_7_B_18_E	0.411
2e0w_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_2_D	_3_d_1_i_8_c_11_E_5_F_11_b_0_-_16_D_2_E	0.496
1ydf_A	_0_b_0_-_7_i_0_-_4_e_3_c_0_-_3_l_2_D_2_D	_6_b_0_B_0_j_4_D_2_h_3_A_6_C_7_j_3_C_5_C	0.374
6jxn_B	_7_i_4_e_3_c_3_l_2_D_0_-_2_D	_10_j_0_-_4_b_2_n_2_F_7_i_6_C	0.524
6q45_O	_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_10_k_6_E_1_i_16_c_3_h_6_G_5_F	0.386
1ylf_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_2_b_0_-_12_e_2_c_0_-_3_B_3_B	0.489
5wi5_C	_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_5_j_4_D_4_D_7_A_1_c_3_k_1_D_12_h_3_D	0.380
1uiy_A	_0_b_7_i_0_-_4_e_3_c_3_l_2_D_2_D	_2_b_8_j_5_E_10_f_4_i_2_f_4_C_4_A	0.457
5jb3_H	_7_i_0_-_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_0_g_5_A_3_A_40_h_0_-_25_n_3_g_7_C_10_C	0.362
3nu7_B	_0_b_7_i_4_e_0_-_3_c_3_l_2_D_0_-_0_-_2_D	_10_b_0_-_1_b_4_C_4_b_4_i_4_C_7_A_2_A_6_D	0.390
4rsx_A	_7_i_0_-_0_-_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_6_i_9_k_5_D_2_d_6_f_7_E_9_E_3_m_3_F_11_D	0.352
1y3n_A	_0_b_7_i_4_e_0_-_0_-_3_c_3_l_2_D_0_-_2_D	_7_f_1_h_1_f_9_C_6_E_0_e_8_k_11_B_5_i_13_B	0.380
1w6u_A	_7_i_0_-_4_e_3_c_3_l_2_D_0_-_2_D	_0_g_17_D_4_j_3_E_2_l_3_D_5_k_5_C	0.362
4xfr_A	_0_b_7_i_4_e_0_-_3_c_0_-_3_l_2_D_0_-_2_D	_0_b_1_c_10_d_2_B_7_i_3_C_4_m_0_D_1_k_6_D	0.452
1m2a_B	_7_i_4_e_0_-_3_c_3_l_2_D_2_D	_17_k_2_c_2_E_5_b_0_-_3_C_3_B	0.433
6nxi_A	_7_i_4_e_3_c_0_-_0_-_3_l_2_D_2_D	_6_h_14_g_4_b_0_C_2_C_12_l_5_D_2_D	0.552
3t0q_A	_7_i_0_-_4_e_3_c_3_l_0_-_2_D_2_D	_5_l_3_F_6_e_0_-_5_n_1_K_2_C_6_C	0.380
3rf4_A	_0_b_7_i_4_e_3_c_3_l_2_D_2_D	_3_b_4_k_0_-_3_b_0_-_1_D_14_F	0.478
1ybf_A	_0_b_7_i_0_-_4_e_0_-_3_c_3_l_2_D	_4_b_11_j_5_G_9_h_4_A_7_c_0_-_5_D	0.533
