3cwb_F	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_3_b_5_h_2_n_5_b_0_-_3_b_5_m	0.576
1o6y_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k	_3_H_3_G_4_G_7_l_9_G_4_G_3_B_0_g_4_n_2_A_5_b_0_C_4_B_6_A_0_-_6_c_6_m_9_i_5_b_6_i_4_b_4_k	0.710
1kft_A	_2_d_8_n_3_b_13_c_5_c_21_k	_0_c_0_-_7_h_2_e_2_c_8_i	0.492
6kac_Y	_9_b_2_d_0_-_8_n_3_b_0_-_13_c_5_c	_9_b_1_c_7_b_9_n_15_b_8_t_4_i_6_c	0.531
4xq6_A	_0_G_0_-_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c	_8_F_6_B_0_b_1_C_8_h_7_E_6_l_0_-_5_D_8_d_1_k_4_D_5_k_4_C_21_B_1_m_4_D_5_h_4_C_1_e_1_m_0_-_5_c_2_c	0.391
3lft_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_0_-_13_c_5_c	_4_D_1_i_31_B_3_j_5_F_3_l_3_F_2_h_6_C_3_d_0_-_0_-_1_f_7_B_10_C_0_-_2_h_2_c_0_-_4_b_3_B_3_C_1_e_6_e	0.378
5euh_A	_2_H_0_-_0_l_11_G_5_F_0_-_9_c_0_-_4_n_12_A	_3_G_2_g_1_m_5_C_5_F_3_l_1_c_8_G_7_m_5_B	0.460
1y0n_A	_12_A_5_b_0_-_0_-_0_B_5_B_6_A_9_b_2_d	_0_A_2_b_2_k_4_k_3_D_6_D_0_-_0_b_2_b	0.440
2qdy_B	_0_l_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_2_l_5_g_28_C_12_b_3_F_7_c_0_-_11_F_0_d_7_F_0_b_0_C	0.353
1kcv_H	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_0_-_0_-_0_-_5_b_0_B_5_B_0_-_6_A_9_b	_5_G_8_F_5_G_4_B_7_E_4_E_4_b_1_F_6_A_3_D_8_D_10_J_4_C_0_b_5_B_3_B_2_J_9_E_0_b	0.365
3gty_S	_0_l_0_-_11_G_5_F_9_c_4_n_12_A_0_-_5_b	_8_k_5_j_3_E_6_E_0_-_3_l_6_k_4_k_3_b	0.361
2pfx_A	_9_b_0_-_2_d_0_-_8_n_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_3_e_3_g_12_c_2_g_2_l_2_c_4_b_4_c_2_c_0_-_4_b_2_h	0.485
2lo1_A	_2_d_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_c_8_l_1_b_0_-_0_-_4_k_0_-_3_f	0.494
1r9f_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_0_-_9_c	_6_G_0_-_2_G_4_g_4_h_8_G_2_G_0_g_2_d	0.503
6sj5_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_k_3_F_9_F_0_-_2_l_7_B_0_-_6_D_3_F_0_-_0_f_1_c	0.491
6vlm_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_0_H_2_G_4_F_4_k_0_-_4_B_4_c_1_i_2_A	0.472
1o98_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_6_A_9_b_0_-_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_3_E_9_k_5_F_0_-_9_l_0_-_3_F_0_c_6_k_4_A_2_i_4_b_3_C_14_C_8_g_17_C_10_A_10_f_4_E_0_d_16_E_7_b_0_-_0_-_5_k_5_E_1_e	0.436
2dnk_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F	_0_D_7_h_4_G_5_H_2_j_0_-_13_C	0.471
3oug_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_J_2_B_5_C_12_E_0_-_5_H_6_C_0_e_0_-_5_I_0_-_9_C	0.378
1f3j_B	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_6_A	_0_H_0_-_6_H_2_F_0_-_0_-_5_B_5_i_1_f_27_B_9_J_4_E_2_A	0.410
3dpl_R	_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_0_c_0_-_7_C_0_-_4_B_0_g_14_B	0.460
1ebd_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_0_-_3_b_0_-_13_c_5_c_0_-_0_-_21_k_4_b_6_g	_3_E_10_k_3_C_1_H_0_-_2_G_2_F_0_-_0_-_1_C_0_-_3_B_32_B_0_-_1_b_0_-_6_l_13_B_5_D_2_d_5_F_0_b_1_e_5_F_4_G_3_k_3_e_9_h	0.449
5h53_C	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_m_0_-_8_c_9_f_15_k_6_j_8_i	0.545
4ks7_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_0_I_2_G_5_G_6_k_8_F_2_E_5_A_0_d_6_n_2_A_5_b_0_B_5_B_2_b_1_A_13_b_2_c_7_l_9_i_8_b_2_i_10_d_0_-_2_d_3_f	0.699
4zmh_A	_0_G_0_-_4_F_2_H_0_l_11_G_0_-_5_F_0_-_0_-_0_-_9_c_0_-_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_0_-_2_d_8_n_3_b_0_-_13_c_5_c_0_-_21_k_4_b_6_g	_3_F_4_g_15_I_2_H_3_k_17_C_4_C_5_D_6_i_4_k_4_B_6_c_2_h_12_b_7_n_17_p_6_b_2_B_4_f_8_E_0_-_13_b_4_E_17_e_0_-_2_c_5_D_7_f_4_b_2_l_4_l_4_b_12_i	0.356
1xhk_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_0_-_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d	_0_E_8_J_4_D_3_n_0_-_15_F_0_-_8_m_7_B_2_A_0_-_4_B_4_i_4_D_12_D_0_-_2_g	0.442
3lua_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B	_0_D_0_-_3_k_0_-_3_D_2_d_0_-_10_A_7_k_1_b_4_D_4_h_4_C	0.447
3jvv_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c	_3_I_2_H_13_g_3_E_6_l_3_E_12_F_6_g_0_-_6_C_5_j_3_E_4_i_3_k_0_I_3_G_2_h_2_h_0_-_2_b_4_d_3_e	0.352
1dtl_A	_2_d_8_n_3_b_13_c_5_c_21_k_4_b_0_-_6_g	_0_c_2_k_4_b_3_i_6_j_9_j_2_j_6_B_0_g	0.388
5zwb_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k	_0_G_6_i_4_H_10_B_2_k_0_-_8_C_0_-_5_m_5_A_0_-_4_A_0_-_3_A_0_-_5_c_0_-_5_b_2_A_3_g_0_-_6_j	0.365
1olp_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_10_G_4_D_12_F_7_b_0_H_7_A_1_G_2_F_0_-_0_-_4_A_0_-_2_C	0.361
1mpy_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_8_F_5_F_7_D_5_G_3_k_3_F_6_E_0_-_0_-_0_-_0_-_5_E_11_C_0_-_0_g_8_c	0.357
1fs1_D	_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_D_5_D_0_-_0_c_3_d_9_A_5_k_0_-_6_e_0_-_4_k_2_k_6_h	0.453
4q2o_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B	_0_E_6_E_0_b_1_G_0_-_4_c_7_D_2_A_5_g_4_F	0.406
1u5f_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_3_I_0_-_10_H_0_-_2_D_9_C_0_-_0_-_4_C_9_b_0_D_5_D	0.351
6ixt_B	_0_G_4_F_2_H_0_-_0_l_11_G_0_-_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_1_D_2_F_11_G_4_D_7_l_2_E_5_k_5_e_10_C_0_i_5_D_1_l_0_-_2_b_0_G_5_F_0_-_5_g_9_m_3_n_0_-_5_c_0_-_6_j	0.396
5xyi_K	_4_F_2_H_0_l_11_G_5_F_9_c_4_n	_1_D_0_-_14_k_2_E_2_E_0_-_1_j	0.372
4tps_D	_0_l_0_-_11_G_5_F_9_c_4_n_12_A	_0_m_4_b_8_E_2_D_3_e_5_j_4_D	0.476
8dfr_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_G_4_C_0_-_9_j_0_-_7_F_0_e_0_-_0_-_2_b_5_E_12_B_0_-_2_h_1_c	0.360
7lqn_J	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_0_-_9_b_0_-_2_d_0_-_8_n_3_b_13_c_0_-_5_c_21_k	_0_D_3_n_7_D_0_-_3_l_8_D_1_B_10_g_1_b_0_-_0_-_4_b_0_A_8_l_4_D_20_C_2_j_3_b_3_C_2_d_4_D_2_j_0_-_8_f_3_D_1_c_4_i	0.354
1llp_A	_0_l_0_-_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c	_2_l_3_k_10_A_0_-_20_j_3_k_1_A_9_A_10_d_16_A_0_-_8_A_0_e_6_d_5_l_5_b_1_A_1_b_21_b	0.419
1e69_A	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_0_G_8_C_4_D_8_g_20_H_0_-_4_H_4_D_0_-_0_-_2_B_1_f_12_B_0_g_3_l_3_B_3_B_8_b_0_-_2_l_7_D_0_-_0_-_7_k_4_D_5_c	0.394
5dcx_D	_2_H_0_-_0_-_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_G_3_c_5_h_12_b_2_o_6_F_4_G_0_-_5_m_12_B_0_-_6_A_16_E_0_-_2_b_0_-_6_q	0.398
4orl_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F	_4_E_2_E_0_e_2_d_2_J_0_-_2_I_2_J	0.351
6ypu_l	_0_G_4_F_2_H_0_-_0_l_11_G_0_-_5_F	_0_G_4_E_5_E_7_c_2_l_5_F_3_j_4_F	0.634
3ut4_A	_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_b_10_c_4_l_0_-_7_i_1_k_3_k	0.474
1unl_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_13_c_5_c_21_k_4_b	_0_H_4_F_5_G_7_j_10_E_3_F_3_A_0_f_6_n_2_A_5_b_0_B_5_B_6_A_14_b_2_c_8_k_12_j_10_b_24_i_4_b_3_c_0_-_3_b	0.708
7ewx_B	_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_3_r_7_A_0_g_5_b_6_A_1_C_4_G_4_h_5_f_3_G_6_C_0_-_1_e_0_-_10_k_0_-_4_g	0.357
2y9m_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n	_0_m_13_E_7_F_0_-_0_-_10_F_0_-_10_C_9_A_4_A_2_b_10_k_9_f_4_m	0.486
1d00_A	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b	_6_F_0_-_1_h_6_A_3_A_6_F_4_b_0_-_3_H_4_b_8_D_8_D_0_-_6_b	0.360
3t3w_A	_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_0_-_21_k	_0_E_2_E_2_b_5_l_0_-_5_E_14_g_6_f_4_D_0_-_2_B_0_f_4_D_3_B_2_c_9_d_0_-_0_-_1_i_3_A_0_f_4_B_1_l	0.372
3rr6_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_5_B_6_A_0_-_0_-_9_b_2_d_0_-_8_n_3_b_13_c_0_-_5_c_21_k_0_-_4_b_6_g	_0_F_2_G_0_-_2_D_9_F_0_b_0_-_1_A_8_C_7_b_10_C_1_b_0_A_5_A_7_B_1_F_8_b_1_b_0_G_2_A_0_f_3_d_4_G_4_b_1_E_2_F_0_b_4_j	0.370
1gjh_A	_8_n_3_b_13_c_5_c_0_-_21_k_4_b_6_g	_22_n_0_-_5_c_9_j_6_o_4_j_5_d_4_f	0.474
4ouq_A	_0_G_4_F_2_H_0_l_11_G_5_F	_2_H_2_E_0_-_0_k_2_J_3_H	0.471
1qgv_A	_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A	_5_F_0_-_4_m_3_F_17_E_2_E_0_-_9_l_5_B	0.521
2aeu_A	_4_F_2_H_0_-_0_l_0_-_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_3_D_10_E_0_j_7_k_2_k_3_i_6_F_3_G_0_-_2_n_1_A_0_-_13_C_0_-_0_-_0_-_3_d_2_l	0.384
4eht_B	_0_G_4_F_2_H_0_l_0_-_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k	_0_F_4_F_3_G_7_k_3_b_2_D_0_-_0_-_0_-_11_A_2_j_5_D_4_E_5_F_7_j_3_g_13_k_0_-_4_p_5_C_1_c_1_j	0.356
2qgs_A	_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k_4_b	_0_e_11_n_0_-_6_h_0_-_10_k_0_-_5_j_7_j_3_l_10_c_2_d_4_f_1_b_6_j_2_d	0.360
3q10_C	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_0_-_13_c_5_c_21_k	_0_B_0_-_2_k_4_E_5_j_4_E_3_b_0_-_0_-_4_c_5_i_4_B_0_-_0_-_3_c_20_c_3_l_3_D_3_k_4_D_12_d_2_c_4_k	0.412
4ljm_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_D_0_-_7_j_2_G_6_H_0_-_2_j_3_A_0_-_2_A_1_D	0.421
1um1_A	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c	_0_F_7_D_10_E_4_d_7_D_9_h_4_F_3_f	0.453
1ixx_A	_4_F_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_A_4_H_1_j_4_A_5_k_7_E_24_b_0_-_3_C_1_b_5_B_5_F	0.489
3thx_B	_0_G_4_F_2_H_0_l_11_G_0_-_5_F_9_c_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_0_-_8_n_3_b_0_-_0_-_13_c_5_c_21_k_0_-_4_b	_11_F_2_H_4_H_4_i_3_D_4_j_8_D_1_b_2_j_7_l_3_c_2_b_0_B_0_-_8_A_1_e_15_d_5_j_5_l_5_f_7_h_5_r_4_f_1_d_1_f_4_e_9_b	0.393
2gag_B	_0_G_4_F_2_H_0_l_0_-_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c	_4_E_3_F_4_G_2_j_5_K_7_C_4_D_4_G_0_-_12_k_0_-_1_d_4_I_5_C_5_D_0_-_2_b_0_-_4_k_0_-_13_c	0.384
1jff_A	_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_0_-_21_k_0_-_0_-_4_b_6_g	_0_E_0_m_12_D_2_h_11_B_8_d_1_n_5_E_10_j_6_C_13_j_5_C_0_-_2_i_0_-_8_n_9_g_9_B_16_c_1_c_15_I_3_j_14_D_17_H_0_m_3_f	0.357
3imi_C	_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k_4_b_6_g	_0_e_7_C_3_D_9_D_6_b_2_h_1_j_3_D_4_b_0_-_0_-_8_E_14_b_3_i	0.398
2ojl_A	_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_F_5_d_2_i_2_F_0_-_4_D_2_D_0_-_0_-_0_c_5_j	0.371
7eyj_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_4_G_3_G_2_E_0_-_4_F_1_D_0_-_0_-_7_C_0_-_3_C_4_E_3_G	0.375
7ve4_A	_13_c_0_-_5_c_21_k_4_b_6_g	_0_c_2_i_5_g_3_l_0_-_4_i	0.467
4c81_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_2_d	_0_K_5_C_2_H_6_k_0_-_0_-_4_c_3_l_2_J_5_l_3_b_0_E_0_-_0_-_0_-_5_c	0.351
5gjq_X	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k	_3_H_13_D_2_F_1_o_5_k_12_H_3_F_0_-_0_-_0_-_0_-_5_B_2_C_0_-_0_-_3_g_9_l_8_H_0_b_4_A_0_-_2_k	0.371
6kcz_A	_9_c_4_n_12_A_5_b_0_B_5_B_6_A	_0_f_15_B_7_A_7_g_4_C_4_C_4_B	0.403
5w70_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_0_-_9_b_2_d_8_n_3_b_13_c_0_-_5_c_21_k	_6_D_12_D_0_-_2_j_4_A_11_A_13_j_2_o_3_A_0_-_6_B_4_D_10_j_4_A_4_b_5_b_1_b_3_f_1_b_3_h_0_D_0_c_3_l	0.416
3u80_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_F_0_-_5_l_0_-_2_F_0_-_3_k_3_C_8_j_4_D_12_C	0.433
1m1s_A	_0_G_4_F_0_-_0_-_2_H_0_l_11_G_5_F	_4_G_5_G_5_C_2_C_4_G_0_-_6_J_16_I	0.411
4hea_R	_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_0_n_3_o_4_d_9_i_15_n_0_-_15_g	0.466
4y7p_A	_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_0_-_13_c_5_c_0_-_21_k_4_b_6_g	_0_k_3_G_2_H_13_B_0_-_1_m_0_-_9_b_0_-_17_e_0_-_7_b_14_h_15_l_3_d_30_B_7_A_5_b_1_b_3_B_0_j_0_-_6_f	0.376
1xnt_A	_4_F_0_-_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B	_0_B_7_e_15_J_0_-_3_G_2_F_11_G_5_c_0_-_5_D_6_c_3_H_9_H	0.403
1g2t_A	_5_b_0_B_5_B_6_A_9_b_2_d	_0_b_0_E_9_D_4_C_0_-_4_h	0.498
3m0g_A	_0_l_11_G_5_F_9_c_0_-_0_-_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_0_-_13_c_5_c_21_k_0_-_4_b_6_g	_0_k_0_-_0_-_2_c_5_c_10_j_8_l_7_A_0_-_0_-_0_-_2_A_0_-_1_c_2_m_3_b_2_l_5_h_8_g_5_k_4_m_6_d_3_l	0.352
2chu_B	_4_F_0_-_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_0_-_21_k	_4_C_4_g_4_B_7_k_4_n_6_G_2_D_7_c_0_-_4_A_0_-_8_B_1_f_3_E_0_-_0_-_0_d_0_-_5_c_3_d_1_c_3_C_12_l	0.448
3hix_A	_5_F_9_c_4_n_12_A_5_b_0_B	_0_C_3_d_8_j_6_C_3_k_5_B	0.450
5wtp_A	_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B	_14_k_0_-_7_E_0_-_6_o_0_-_4_b_0_F_10_f_1_F	0.380
2ozx_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_4_J_1_b_6_F_0_-_6_l_1_J_7_C_0_-_10_j_5_B	0.460
2c0r_A	_4_F_0_-_2_H_0_l_11_G_0_-_0_-_5_F_9_c_4_n_12_A_0_-_5_b_0_B_5_B_6_A_9_b_0_-_2_d_8_n_3_b_0_-_13_c_5_c_0_-_21_k	_6_E_2_k_5_E_2_k_2_E_1_b_7_b_6_F_0_-_1_A_4_A_11_C_11_b_2_D_10_E_0_-_0_b_9_b_1_e_9_l_2_o_6_A_3_b_0_-_4_D_3_k	0.366
1mup_A	_0_G_0_-_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A	_3_I_2_J_6_C_3_H_0_-_4_I_2_I_0_-_6_j_8_B	0.379
3mb8_A	_0_G_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A_9_b_0_-_2_d_8_n	_4_G_2_G_2_F_4_k_4_I_10_H_2_e_0_-_6_A_2_k_4_F_13_d_4_B_0_-_2_i_3_G_3_e_7_p	0.457
2h7a_A	_0_G_4_F_0_-_2_H_0_l_11_G_5_F	_0_E_6_C_10_f_2_F_12_i_0_-_2_C	0.369
1tdp_A	_2_d_0_-_8_n_3_b_13_c_5_c_21_k_4_b_6_g	_2_c_2_l_4_m_10_b_0_-_0_-_1_j_0_-_4_h	0.442
1fa2_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_0_-_5_b_0_B_0_-_0_-_5_B_6_A_0_-_0_-_0_-_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b_6_g	_2_D_0_-_14_k_0_-_4_F_0_c_10_j_3_F_17_e_4_b_0_B_5_E_1_b_3_B_2_A_0_l_1_e_2_E_3_b_8_b_14_j_11_b_6_b_8_b_1_s_5_E_12_e_11_h	0.385
2ptd_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c	_5_G_5_D_2_E_0_k_0_-_5_F_11_g_15_c_0_-_3_E_0_-_19_D_5_D_6_l_7_E_0_-_0_-_12_n_6_C_10_f_2_c	0.395
2d9x_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_0_H_0_-_3_H_5_D_2_b_0_-_6_C_0_-_5_A_8_B_7_B_0_-_0_-_4_o	0.395
4jn6_B	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_0_-_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_21_k	_0_E_3_j_0_-_4_F_6_g_0_-_3_B_3_c_8_C_3_k_2_C_11_g_4_B_0_-_0_-_3_k_7_G_0_b_0_-_2_d_1_k	0.384
4af3_A	_0_G_4_F_2_H_0_-_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_0_-_3_b_13_c_5_c	_0_E_6_G_5_G_0_f_2_j_9_E_3_F_6_g_4_n_0_-_9_b_0_B_5_B_0_-_0_-_9_c_7_l_9_h_11_i_4_b_3_d_2_e	0.598
3q85_A	_4_F_0_-_2_H_0_l_11_G_0_-_5_F_9_c_4_n_12_A_5_b_0_-_0_B	_0_F_6_h_3_G_0_-_2_G_6_d_2_F_3_d_1_j_7_E_4_b_4_i_3_C	0.502
1cfz_A	_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k_0_-_4_b	_0_E_5_l_0_A_4_F_3_f_0_-_0_-_0_-_4_F_10_D_0_-_0_-_2_e_5_l_6_F_0_-_12_c_2_k_6_A_0_c	0.355
5hwe_A	_0_G_4_F_0_-_2_H_0_-_0_l_0_-_11_G_5_F_9_c_4_n_0_-_12_A_0_-_0_-_0_-_5_b_0_B_5_B_6_A_9_b_2_d_8_n	_3_D_8_F_2_b_7_G_5_b_3_m_5_b_0_G_0_-_4_h_9_n_8_b_11_D_7_G_6_G_5_i_10_b_4_G_6_A_2_A_2_b_0_-_5_m	0.350
16pk_A	_0_G_4_F_2_H_0_l_11_G_5_F_0_-_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d_8_n_0_-_3_b_13_c_5_c_0_-_21_k_0_-_4_b_0_-_6_g	_6_E_5_A_2_A_3_l_0_-_3_D_10_h_8_b_2_j_4_B_6_d_6_C_0_-_0_-_2_b_1_c_3_j_4_D_1_b_0_-_10_d_3_A_1_k_6_D_5_k_2_C_3_h	0.419
1oy2_A	_9_c_0_-_4_n_12_A_5_b_0_B_0_-_5_B_6_A_0_-_9_b	_0_c_3_J_12_l_0_-_1_b_19_B_5_G_2_D_29_A_10_E_5_c	0.466
5hgk_A	_0_B_5_B_6_A_9_b_2_d_8_n_3_b_13_c_5_c_21_k	_0_B_5_B_4_k_5_g_5_h_5_o_0_-_17_c_6_g_7_o	0.377
1rl1_A	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B	_0_D_3_E_6_b_0_C_5_E_0_-_0_-_5_E_7_b_0_D_4_E	0.377
6ysi_G	_4_F_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_5_B_6_A_9_b_2_d	_0_C_5_H_0_-_13_H_10_G_0_-_0_-_4_A_0_-_5_A_5_D_0_-_16_b_5_e	0.447
4unw_C	_0_G_0_-_4_F_0_-_2_H_0_l_11_G_5_F_9_c_4_n_12_A_5_b_0_B_0_-_5_B_6_A	_6_H_3_g_5_D_4_C_15_H_0_-_4_G_1_C_0_-_0_-_1_C_0_-_6_C_4_A_5_B_2_A	0.366
