2hv6_A	_0_i_3_d_2_f_4_o_9_b	_7_i_7_d_1_f_4_j_4_c	0.627
2own_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_E_0_-_2_b_5_A_1_m_7_b_0_-_5_G_7_J_4_G	0.408
4q14_A	_9_b_1_C_5_D_0_-_3_J_3_I	_13_b_0_-_3_G_0_f_12_G_5_H	0.379
1fmf_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_H_1_j_1_G_4_d_2_f_0_-_0_-_6_E_8_j_3_B	0.469
5o5j_S	_3_d_2_f_4_o_9_b_1_C_5_D	_0_b_5_j_5_C_8_b_3_D_4_D	0.479
6kby_A	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_1_j_0_-_7_g_3_D_2_B_0_-_4_C_4_f_7_A_1_F_5_H_2_G	0.370
1dli_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_h_0_-_19_j_7_q_0_-_7_D_14_i_4_D	0.403
7m1r_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_4_F_3_B_4_i_6_g_4_i_0_-_9_d_7_C_4_C	0.469
2dt1_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_5_F_2_f_2_d_4_D_31_j_0_-_3_b_0_E_1_F_9_D_11_B_0_f_4_D_4_E	0.358
4h8q_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_0_-_1_C_5_D_3_J_3_I	_0_J_0_-_7_d_0_-_4_E_2_G_2_b_0_G_2_C_1_E_4_G_6_H	0.429
3ojy_B	_0_I_0_-_0_-_0_i_3_d_0_-_2_f_0_-_0_-_4_o_9_b_1_C_5_D	_2_I_2_F_0_c_6_f_14_c_6_F_22_h_3_H_0_c_8_m_2_b_8_D_2_D	0.395
1ygh_A	_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_5_m_5_h_0_-_4_F_3_J_0_b_1_H	0.431
2hk8_F	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_D_3_i_3_A_3_b_0_-_0_-_1_b_2_C_15_b_5_C	0.360
3v77_A	_0_I_0_-_0_i_3_d_0_-_0_-_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_0_G_2_A_0_h_5_c_5_B_2_A_6_e_0_F_2_F_6_e_11_B_7_A_5_G_2_J	0.350
5zwk_C	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_J_1_e_3_H_8_c_0_-_0_-_3_b_2_F_3_F_2_G_4_E	0.435
5j9s_A	_9_b_0_-_1_C_5_D_3_J_3_I	_6_b_1_F_8_C_4_F_3_H_7_G	0.579
3g3n_A	_0_i_3_d_2_f_4_o_9_b	_4_j_2_c_4_k_10_l_2_c	0.475
5lc5_N	_0_i_3_d_2_f_4_o_9_b	_12_j_12_f_6_f_1_f_8_b	0.499
1vh8_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J	_2_G_8_k_5_b_7_k_2_J_12_e_4_b_0_-_0_E_5_c_3_K	0.367
1gff_1	_0_I_0_-_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_10_J_1_c_1_j_6_A_8_b_8_A_1_k_13_b_41_n_4_e_14_I_2_C_9_C_1_J_4_I	0.454
3v8h_C	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_7_J_7_k_5_e_6_d_2_c_15_e_0_-_0_G_3_h_3_G_2_I	0.429
4zdn_A	_0_I_0_i_3_d_0_-_2_f_0_-_0_-_4_o_0_-_9_b_1_C_0_-_5_D_3_J_3_I	_6_I_11_l_3_b_2_B_8_k_5_C_2_c_3_m_1_A_14_b_2_B_4_A_10_F_4_G_18_F	0.382
3vx8_B	_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_f_4_k_4_B_3_b_10_H_0_-_9_I_4_H	0.426
2bid_A	_0_i_3_d_2_f_4_o_9_b	_7_h_1_b_5_j_9_m_4_j	0.384
4l0p_B	_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_5_b_5_C_4_D_9_b_2_F_1_e_6_F	0.418
3jb9_G	_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_f_0_-_3_g_3_E_4_G_6_H_18_F	0.371
1ihc_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_7_G_3_k_5_D_10_g_2_A_1_k_1_d_4_C_2_E	0.427
1sdi_A	_0_i_3_d_2_f_4_o_0_-_9_b	_4_j_6_c_4_l_6_o_3_i_2_c	0.421
1d3y_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_i_1_b_0_-_4_l_3_c_1_A_6_B_3_E_2_E	0.405
6mgr_C	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_3_I	_4_F_2_h_4_C_9_d_0_-_5_l_0_-_3_C_5_h_4_C_1_c_9_A_4_E	0.359
1vli_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_6_g_4_E_16_d_2_j_7_c_13_c_3_C_14_C	0.481
1p2z_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_0_e_7_c_2_i_0_-_6_b_20_C_3_C_3_I_5_A_0_b_0_I	0.581
4kwh_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C	_2_F_0_-_7_c_1_g_10_j_2_b_6_C	0.484
1lbq_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_0_-_5_D	_0_F_6_j_0_-_0_-_13_o_6_n_1_b_2_F_6_h_5_E	0.438
1qwr_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_1_H_0_-_1_e_8_F_8_A_9_f_0_-_1_c_9_G_5_B_3_f_8_G_4_E	0.413
1qhf_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_6_j_5_d_4_D_1_j_0_-_6_b_8_D_10_A	0.469
2ax4_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_9_E_6_k_4_C_1_c_0_-_11_n_0_-_3_D_5_k_4_F	0.383
2n01_B	_9_b_1_C_0_-_5_D_3_J_3_I	_2_b_7_D_10_D_2_D_4_E_2_F	0.476
5wsk_E	_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_k_0_-_3_F_21_B_9_k_4_G_4_H	0.416
2ofi_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C	_1_f_1_b_1_d_2_f_9_l_7_e_7_A	0.432
5b5k_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_3_J_3_I	_1_h_5_c_0_-_2_l_7_e_1_B_0_n_4_q_12_G_4_G_3_I	0.421
2a65_A	_0_i_3_d_2_f_4_o_9_b	_1_i_9_d_5_t_5_o_3_f	0.453
4kw1_C	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_I_3_g_0_-_0_-_0_-_0_-_6_C_4_C_15_H_4_E	0.387
2cqz_A	_0_i_3_d_2_f_4_o_0_-_9_b	_0_j_4_d_0_-_8_o_6_i_4_c	0.517
7c5f_R	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_5_H_5_j_5_C_5_c_0_-_0_-_0_-_6_C_0_b_1_D_0_-_2_I	0.442
1qf6_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_2_I_0_-_4_b_0_-_8_J_1_o_0_-_5_D_9_l_6_B_9_F_5_I	0.460
2r14_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_3_E_0_-_4_e_0_-_14_n_1_b_0_D_13_k_4_D	0.469
3d24_C	_2_f_4_o_9_b_1_C_5_D	_0_g_11_o_9_p_5_D_2_C	0.502
5y7z_A	_0_I_0_i_0_-_0_-_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_5_G_3_l_9_F_10_F_3_A_0_e_2_b_4_n_11_b_0_B_5_B	0.365
5cm8_B	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_2_H_9_e_4_E_5_c_1_h_0_-_0_-_9_D_9_j_3_B	0.391
5fgl_A	_0_i_3_d_0_-_2_f_4_o_9_b	_3_i_1_b_2_j_1_j_7_m_5_d	0.363
6cfw_L	_0_i_0_-_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_3_h_4_b_9_e_5_e_0_-_15_b_6_c_9_n_31_D_0_-_4_G	0.404
1ixv_A	_0_i_3_d_2_f_4_o_9_b	_14_g_2_d_19_f_3_j_14_b	0.660
4q35_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_4_I_0_-_0_b_1_K_2_I_1_f_0_-_2_d_0_-_0_-_7_J_3_I	0.390
2a14_A	_0_I_0_i_3_d_2_f_4_o_0_-_0_-_9_b_0_-_0_-_1_C_5_D_0_-_3_J_3_I	_1_G_2_j_0_-_8_i_3_k_0_E_16_F_2_c_3_j_2_J_4_C_2_C_5_i_2_H_13_G	0.365
1bhu_A	_9_b_1_C_5_D_3_J_0_-_3_I	_15_c_3_A_7_B_5_E_29_A_4_E	0.387
1sr4_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_F_8_k_2_d_1_F_4_g_0_-_3_d_2_B_13_E	0.485
5ves_A	_0_I_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_0_F_0_c_9_j_1_b_0_-_7_F_12_l_3_b_0_C_17_j_1_F	0.394
1mw5_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_11_k_0_-_9_g_7_n_1_e_3_A_2_A_2_E	0.407
4ew5_A	_4_o_9_b_1_C_5_D_3_J_3_I	_0_l_0_-_29_A_13_E_2_E_4_E	0.351
5e9g_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_3_D_3_f_0_-_6_B_1_f_17_q_2_e_9_C_7_k_3_D_15_A_2_m_5_E	0.358
1mj5_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_0_H_6_b_2_j_18_b_7_j_4_g_0_-_1_b_0_-_7_k_6_G_5_f_5_G	0.396
1vfr_A	_0_I_0_i_0_-_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J	_3_E_2_h_6_b_1_d_2_G_4_k_5_l_8_o_0_-_2_D_0_-_4_f_7_I	0.355
3gdj_A	_0_i_3_d_2_f_4_o_9_b	_0_k_3_l_1_e_10_m_5_c	0.376
3mal_A	_9_b_1_C_5_D_3_J_3_I	_5_b_1_C_17_E_5_G_6_E	0.657
2dk9_A	_0_i_3_d_2_f_4_o_9_b	_3_i_1_b_2_f_1_l_8_e	0.558
4rgw_A	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_0_c_12_d_13_b_6_B_1_l_12_c_8_C_15_E_16_C_14_E_3_H	0.457
6q55_A	_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_5_c_2_d_7_C_1_k_25_i_0_B_5_C_2_F_7_F	0.378
5hdj_B	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_3_E_2_i_4_c_3_G_1_i_4_c_2_p_0_-_3_D_0_-_0_d_0_-_1_f_6_I	0.388
1vqo_3	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_4_H_10_h_6_c_0_-_0_-_0_-_13_D_5_A_10_C	0.362
5wy2_C	_0_I_0_-_0_i_3_d_2_f_4_o_9_b	_2_I_8_F_0_j_2_b_14_l_3_u_4_b	0.369
6sjj_S	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_0_H_0_-_3_c_7_g_0_-_0_-_4_G_7_E_7_I_0_b_1_G	0.424
2vri_A	_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_c_7_E_8_h_3_k_0_-_7_D_4_E	0.425
2l3g_A	_0_i_3_d_2_f_4_o_9_b	_0_j_13_h_3_i_14_m_8_d	0.539
3fkd_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_0_h_1_d_7_c_0_-_9_b_0_C_1_j_4_E_3_f_4_E	0.489
3oaa_D	_0_I_0_-_0_i_0_-_3_d_0_-_2_f_4_o_9_b	_8_H_1_b_4_f_4_D_1_d_12_A_4_c_1_q_2_b	0.371
1n47_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_3_I	_10_G_0_-_9_b_0_-_0_-_10_b_2_E_11_E_6_C_8_G_4_G	0.418
2rij_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_16_D_2_i_1_b_6_j_6_E_8_j_13_c_3_C_2_B	0.429
2ale_A	_0_i_0_-_3_d_2_f_4_o_9_b_1_C_0_-_5_D	_1_i_2_F_5_c_1_h_0_-_0_-_3_C_2_f_8_D	0.472
4g9b_A	_0_i_3_d_2_f_0_-_4_o_9_b_0_-_1_C	_9_k_8_d_4_j_3_b_2_n_3_b_4_i_3_C	0.435
5e2f_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_8_j_5_d_24_j_0_-_0_-_17_A_3_H_6_H_2_H	0.426
1ycs_B	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_2_i_13_f_3_h_15_c_10_j_4_b_0_C_18_C_10_E_2_E	0.567
1j2r_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_0_-_5_D_0_-_3_J	_0_E_0_-_6_b_0_-_6_m_4_E_31_b_6_D_10_f_4_F_4_j_3_J	0.419
4ylu_B	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_2_G_2_D_0_c_2_b_5_f_0_-_2_b_0_C_7_A_1_F_2_E_9_B_7_G_2_H	0.488
1v30_A	_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_10_c_3_L_3_M_1_f_0_-_3_d_0_E_6_E	0.355
3bu3_A	_0_I_0_-_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_5_D	_4_G_7_F_7_k_10_D_6_D_6_f_15_n_2_A_5_b_0_B_5_B	0.366
6bc1_C	_9_b_1_C_5_D_0_-_3_J_3_I	_0_j_5_B_5_B_0_c_3_J_5_I	0.470
5vqp_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_15_j_11_E_17_F_0_f_0_-_3_b_0_-_0_I_6_H_3_I	0.373
2yqc_A	_0_i_3_d_0_-_2_f_4_o_0_-_9_b_1_C_0_-_5_D	_0_i_3_c_2_b_2_j_4_k_5_A_3_b_0_B_5_l_3_G	0.361
2yvt_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_E_5_k_3_D_6_j_7_o_4_D_7_i_7_B_3_D_0_-_3_E	0.413
6btg_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_5_D_2_h_8_d_6_A_7_i_0_-_0_-_5_C_3_E	0.370
2dkk_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_9_i_0_-_8_i_1_m_1_h_5_i_10_B_3_B	0.405
1ojq_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_0_-_0_-_3_I	_7_F_0_-_1_e_5_f_9_j_0_-_3_C_3_C_11_F_6_A_13_C_3_I	0.473
6mrf_A	_4_o_9_b_0_-_1_C_5_D_0_-_3_J_3_I	_0_n_1_b_6_i_8_A_9_D_2_B_14_I_2_I	0.480
6de7_B	_0_i_3_d_2_f_4_o_9_b	_3_c_3_c_1_b_8_q_16_b	0.447
1n71_A	_0_I_0_i_0_-_3_d_2_f_4_o_9_b_1_C_5_D	_3_H_8_l_4_F_16_e_9_e_0_-_0_-_3_E_9_F	0.378
1r2z_A	_0_I_0_-_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D	_6_E_0_c_19_g_6_e_9_j_7_b_2_n_18_c_18_D_2_D	0.515
1x31_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_2_i_21_b_9_d_0_-_2_b_5_F_11_C_13_H_4_G	0.568
7ccc_C	_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_3_J_0_-_3_I	_6_j_2_f_1_i_3_A_8_A_0_-_10_C_4_E_4_F_7_m_3_I	0.447
1du5_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_2_c_2_e_4_h_0_-_10_c_1_C_4_D	0.506
2lsn_A	_0_I_0_-_0_i_0_-_3_d_2_f_4_o_9_b_1_C	_7_I_7_H_4_m_4_D_2_d_5_e_13_k_0_-_4_C	0.384
2bmx_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_7_E_9_h_1_d_3_F_3_i_0_-_3_b_10_e_10_E_0_-_4_G	0.409
4noh_A	_2_f_4_o_9_b_0_-_1_C_0_-_5_D	_4_e_0_-_4_b_0_K_2_C_2_d_6_C	0.355
2kiu_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_i_5_A_1_j_0_-_1_b_3_k_3_C_6_C	0.443
3pig_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_2_G_0_-_7_d_0_-_1_A_1_A_0_-_3_D_5_D_1_e_4_G_3_E_5_G	0.363
1p4o_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_2_I_6_l_8_D_6_D_6_k_8_n_9_b_0_B_5_B	0.388
3o7t_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J_0_-_3_I	_2_I_5_j_13_B_0_-_0_-_0_-_3_C_32_C_11_C_4_b_5_F_1_g_12_H	0.355
1st8_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_4_G_0_-_0_-_5_f_1_A_1_A_0_-_3_D_6_D_1_e_0_J_3_C_7_I	0.451
5v0m_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_l_2_e_0_-_0_-_7_b_6_G_4_F_10_D	0.374
1xc3_A	_0_I_0_-_0_i_3_d_2_f_4_o_9_b_1_C	_3_F_2_A_8_b_21_d_1_g_10_o_0_-_5_C	0.512
4ge1_C	_0_I_0_i_3_d_0_-_2_f_4_o_9_b	_1_E_6_j_5_b_1_A_0_f_4_h_3_d	0.388
7t7j_B	_0_I_0_i_3_d_2_f_0_-_4_o_0_-_9_b_1_C_0_-_0_-_5_D	_10_E_0_b_9_b_1_e_9_l_2_o_3_A_4_b_4_E_2_k_2_A_10_C	0.360
3kyz_A	_2_f_4_o_9_b_1_C_0_-_5_D	_13_f_0_-_10_b_4_D_4_b_1_D	0.567
5mla_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C	_2_I_3_k_2_F_3_d_1_j_6_E_10_j_0_-_3_B	0.363
1vdm_A	_4_o_0_-_9_b_1_C_5_D_3_J_0_-_3_I	_2_m_3_D_4_i_5_F_10_C_9_H_3_j_5_H	0.365
1rmd_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D	_0_i_13_b_5_h_0_-_0_-_1_B_8_B	0.355
7ew6_3	_0_i_3_d_0_-_2_f_4_o_9_b	_2_g_4_b_3_b_4_b_10_o_3_b	0.516
3tia_A	_0_I_0_i_3_d_2_f_4_o_0_-_9_b_1_C_5_D_0_-_3_J_3_I	_0_F_0_-_2_d_5_I_0_-_4_J_3_b_11_E_9_D_2_E_4_H_2_G	0.385
1nb3_A	_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_7_e_1_c_9_i_6_b_13_b_4_E_5_i_3_D_3_d_4_A_13_J_2_F	0.452
3tsr_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_h_12_g_10_D_3_h_0_-_0_-_1_B_8_B_4_G_10_G	0.402
3pqs_A	_9_b_0_-_1_C_5_D_3_J_3_I	_2_b_5_K_3_C_10_F_4_E_9_G	0.469
1qo3_A	_0_I_0_-_0_-_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_5_I_2_E_6_B_2_k_0_-_1_f_5_j_1_c_0_-_6_G_5_J_4_E	0.460
1u2p_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_6_F_11_h_13_c_3_C_2_h_0_-_4_b_0_B	0.495
3n37_A	_0_i_3_d_2_f_4_o_9_b	_0_j_4_b_2_g_4_n_5_f	0.489
4dyc_B	_0_i_3_d_2_f_0_-_4_o_0_-_9_b	_0_j_4_c_8_i_1_r_5_o_1_c_10_b	0.554
5w4l_A	_4_o_0_-_9_b_1_C_5_D_3_J_3_I	_0_m_4_C_7_c_1_D_2_D_0_-_17_H	0.487
5zqa_A	_3_d_0_-_2_f_4_o_0_-_0_-_9_b_1_C_5_D_3_J_3_I	_11_d_3_B_0_i_3_r_21_A_1_k_3_d_3_B_5_B_11_H_3_I	0.408
1dcl_A	_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_4_b_1_F_7_B_2_D_8_D_3_c_4_J_4_E	0.366
1xn8_A	_0_i_3_d_2_f_4_o_9_b	_0_f_3_d_2_n_13_l_34_c	0.426
4jum_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_6_H_0_-_0_-_3_g_0_-_0_-_6_C_4_C_15_H_4_E	0.372
3r77_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_5_D_0_-_3_J	_4_D_6_c_2_d_7_c_0_-_3_b_6_C_11_f_4_F_6_h_3_I	0.415
1e29_A	_0_i_0_-_3_d_2_f_4_o_9_b	_2_i_5_f_11_d_8_h_0_-_24_b	0.548
1sqh_A	_2_f_4_o_9_b_1_C_0_-_5_D_3_J_0_-_3_I	_2_l_4_m_10_b_2_D_4_c_2_E_3_E_7_h_10_E	0.361
1elj_A	_0_I_0_-_0_i_3_d_2_f_0_-_0_-_4_o_9_b_0_-_1_C_0_-_5_D_0_-_3_J_3_I	_1_G_1_D_10_j_2_b_10_g_7_A_4_A_4_h_5_b_6_h_5_C_1_h_4_C_4_B_2_B_4_I	0.369
1flg_A	_3_d_2_f_4_o_9_b_0_-_1_C_5_D_3_J_3_I	_0_d_1_b_16_A_9_b_1_F_13_B_2_E_3_E_5_E	0.416
1v29_B	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_0_-_3_J_0_-_3_I	_7_g_3_e_2_l_5_k_11_k_4_A_12_C_12_b_3_J_2_c_8_H	0.435
1i5p_A	_0_I_0_i_3_d_0_-_2_f_0_-_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_5_H_0_-_4_c_23_G_4_C_4_D_6_C_6_A_2_b_0_C_8_C_4_G_3_I	0.399
6cj7_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_0_-_5_D_3_J_3_I	_1_G_5_f_2_f_4_H_1_G_1_e_0_-_3_c_9_B_8_I_9_C_4_F_4_G	0.419
6b5f_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C	_4_F_4_j_3_c_8_m_6_g_2_l_0_-_3_A	0.409
3g1n_A	_0_i_3_d_0_-_2_f_4_o_9_b_0_-_0_-_1_C_5_D	_4_h_6_d_2_C_6_j_3_j_9_b_1_A_2_A_2_C_10_B	0.401
3dms_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_6_G_0_i_1_b_2_C_1_k_0_-_0_-_7_D_4_D	0.418
4kop_B	_9_b_1_C_0_-_5_D_0_-_0_-_3_J_3_I	_1_b_1_D_2_H_11_D_1_g_7_D_3_H_5_I	0.391
5wpi_A	_0_I_0_i_3_d_2_f_4_o_0_-_0_-_0_-_9_b_1_C_5_D	_6_E_0_-_12_e_2_h_7_n_3_B_10_B_2_B_8_c_0_D_1_C	0.374
1a8d_A	_0_I_0_i_3_d_2_f_0_-_4_o_9_b_0_-_0_-_1_C_0_-_5_D_3_J_3_I	_7_I_0_-_0_-_5_h_21_D_0_-_0_b_2_D_6_D_2_C_4_C_6_E_14_H_2_G	0.434
3fq3_A	_9_b_0_-_0_-_0_-_1_C_5_D_3_J_3_I	_0_b_10_F_6_E_4_F_9_C_12_C_10_K_2_I	0.364
2bnh_A	_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_6_j_8_B_7_d_1_f_5_B_6_k_0_-_7_B_7_k_5_B	0.361
2hmv_A	_0_i_0_-_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_3_j_5_C_2_e_6_C_7_d_0_-_1_b_2_C_5_k_4_D	0.414
4r1k_A	_0_i_3_d_2_f_4_o_9_b_1_C_5_D_3_J_3_I	_0_f_2_c_2_d_10_k_0_-_5_E_7_C_2_F_2_E	0.424
2o3i_A	_0_i_3_d_0_-_2_f_4_o_9_b_0_-_1_C_5_D_3_J_0_-_3_I	_10_e_4_b_8_A_3_f_5_k_10_f_4_H_4_D_4_E_3_E_7_A_3_E	0.370
3inp_A	_0_I_0_i_0_-_3_d_2_f_0_-_4_o_9_b_1_C_0_-_5_D	_5_E_4_i_3_C_1_b_3_h_4_E_6_b_3_b_2_D_12_l_4_D	0.406
5wp0_A	_0_i_3_d_2_f_4_o_9_b	_22_i_4_d_4_g_6_k_1_c	0.587
1vm0_B	_2_f_0_-_4_o_9_b_1_C_5_D_3_J	_6_i_5_F_2_k_0_-_3_D_2_D_8_J	0.486
4tx6_B	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D_0_-_3_J	_0_E_0_-_8_d_6_F_3_b_0_-_1_b_13_B_5_D_3_j_3_F	0.392
1v9k_A	_0_I_0_i_3_d_0_-_2_f_0_-_4_o_9_b_1_C_5_D_3_J_3_I	_0_E_15_g_7_A_8_F_2_j_4_G_8_A_0_-_3_D_5_D_8_G_3_G	0.383
3dhz_A	_0_i_3_d_2_f_4_o_9_b	_15_j_4_b_2_h_3_n_5_b	0.641
4ruv_A	_0_I_0_i_3_d_0_-_2_f_4_o_9_b_1_C_5_D	_5_E_4_h_1_e_4_E_4_e_0_-_0_-_7_E_2_E	0.400
2w4o_A	_0_I_0_i_3_d_0_-_0_-_2_f_4_o_9_b_1_C_5_D	_5_G_0_-_2_d_8_E_3_E_7_d_7_n_9_b_0_B_8_B	0.472
5yu0_A	_0_i_3_d_0_-_2_f_4_o_9_b_1_C_0_-_5_D	_2_f_1_c_2_b_4_e_1_c_2_b_2_C_4_m_4_B	0.412
5gwz_A	_0_I_0_i_3_d_2_f_4_o_9_b_1_C_0_-_0_-_5_D_0_-_3_J_3_I	_2_G_2_D_0_c_9_f_0_-_2_b_0_D_2_B_1_F_2_E_9_B_7_G_2_H	0.481
1xiw_B	_9_b_1_C_0_-_5_D_3_J_3_I	_0_b_1_E_0_b_2_E_0_-_2_E	0.383
2zmi_A	_0_i_3_d_2_f_4_o_9_b_0_-_1_C_5_D	_0_m_5_d_0_-_12_n_4_b_2_o_1_A_4_B	0.370
