3cwb_F	_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m	_0_k_1_c_3_b_5_h_2_n_5_b_3_b_5_m	0.657
1fnt_F	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_2_C_4_k_0_-_6_k_12_F_0_-_0_-_2_F_0_b_1_c	0.399
3o5z_B	_8_C_8_j_9_D_6_e_0_-_1_d_5_F_0_-_2_b_2_c_3_C	_0_E_0_-_18_D_0_e_6_b_1_c_1_E_5_D_0_b_0_-_0_E	0.577
3heb_A	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_A_5_k_0_-_12_h_6_b_3_E_7_i_0_-_8_D_0_-_4_h_4_C_4_l	0.421
1ndb_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_0_-_2_c_7_m_0_-_0_-_2_k_3_l_6_k_3_b_2_c_0_-_0_-_0_-_2_i	_9_E_0_-_2_E_10_k_0_-_9_e_2_j_3_j_3_C_0_-_11_f_19_D_15_i_2_b_0_-_13_A_6_l_4_A_2_A_5_d_4_m_5_E_7_D_3_g_7_p_5_k_0_-_9_d_4_D_17_E_4_G_11_g	0.360
3aia_A	_0_i_0_-_4_E_5_k_0_-_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j	_7_j_9_F_7_E_10_m_4_b_2_C_0_-_2_C_3_i_3_J_0_b_5_E_0_-_6_h_3_C_7_l	0.459
2h3j_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_7_g_6_E_0_-_8_B_0_-_4_A_0_-_3_c_2_D	0.397
6j5j_G	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b	_3_k_13_C_10_n_4_C_2_e_8_C_10_i_0_-_11_F_5_F_10_b	0.528
2oi8_A	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_n_6_e_3_d_5_q_4_k_0_-_1_g_10_b_8_e_6_g	0.567
2g1d_A	_4_E_5_k_8_C_8_j_9_D_6_e	_5_H_8_k_5_A_0_-_11_H_1_g	0.444
1axd_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b_2_c_2_i	_0_C_7_j_3_C_7_b_1_c_9_C_0_-_0_-_2_C_1_j_1_c_0_-_4_k_5_g_5_c_5_p_10_c_2_f_3_g_1_j_0_-_0_-_1_i	0.487
3nbf_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_8_i_12_C_3_k_5_C_5_i_3_C_1_i_0_-_9_D_1_e_3_h_6_D_5_i	0.636
1kft_A	_2_c_3_C_4_j_2_c_1_c_2_m	_0_c_0_-_7_h_2_e_2_c_8_i	0.509
6kac_Y	_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_9_b_0_-_1_c_7_b_9_n_15_b_8_t_4_i_0_-_6_c	0.368
4xq6_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c	_8_h_7_E_6_l_5_D_8_d_1_k_4_D_5_k_0_-_4_C_21_B_1_m_0_-_4_D_5_h_4_C_1_e_0_-_1_m_5_c_2_c	0.486
3lft_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c_0_-_2_m_2_c_2_c	_1_i_31_B_3_j_5_F_3_l_3_F_2_h_0_-_6_C_3_d_1_f_7_B_10_C_2_h_2_c_4_b_3_B_3_C_1_e_6_e	0.471
5euh_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_2_g_0_-_1_m_5_C_0_-_5_F_3_l_1_c_8_G_0_-_7_m_5_B	0.372
4juk_B	_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d	_8_B_4_m_17_z_3_B_0_-_5_B_5_h_4_h	0.357
1y0n_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c	_2_k_0_-_4_k_3_D_0_-_0_-_6_D_0_b_2_b	0.459
5wq3_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j	_0_n_5_D_9_l_3_C_7_h_4_E_11_D_2_i_4_B_4_l_8_C_1_i_12_d_2_B_2_j	0.481
2prv_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_5_i_2_B_0_-_2_B_8_j_6_E_0_-_0_-_3_E_0_-_0_-_9_D_3_F_2_l	0.357
2qdy_B	_0_i_0_-_4_E_5_k_0_-_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C	_10_h_3_e_0_-_2_l_5_g_28_C_12_b_3_F_7_c_11_F_0_d_7_F_0_b_0_-_0_C	0.511
2pfx_A	_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_k_0_-_3_e_3_g_0_-_12_c_2_g_0_-_2_l_2_c_4_b_0_-_4_c_2_c_4_b_2_h_0_-_4_k_2_f_3_d	0.414
2lo1_A	_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_c_8_l_1_b_0_-_0_-_4_k_0_-_3_f	0.384
1r9f_A	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_0_-_6_e_1_d	_0_i_6_G_0_-_2_G_4_g_4_h_8_G_2_G_0_g_2_d	0.450
1onl_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_0_-_4_j	_4_E_0_-_2_E_1_f_2_D_6_A_0_-_4_F_3_D_4_E_2_c_3_c_8_D_2_e_3_i	0.475
1fnd_A	_0_i_0_-_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_1_f_6_G_12_F_0_l_11_G_2_b_3_i_4_F_13_e_2_g_4_F_1_l_5_i_3_E	0.379
2gju_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j	_0_F_5_m_2_G_9_k_1_C_3_f_9_d_4_p_4_D_0_-_0_-_2_E_17_j	0.496
6sj5_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_k_3_F_9_F_2_l_7_B_0_-_6_D_0_-_0_-_3_F_0_f_1_c_5_C	0.537
2osa_A	_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_g_5_k_0_-_0_-_13_m_10_k_11_h_3_k_3_n_1_c_3_j	0.464
1h8u_A	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_G_1_j_2_A_5_j_6_H_6_C_0_-_0_-_22_D_0_-_0_-_5_C	0.401
2dnk_A	_0_i_4_E_5_k_8_C_8_j_9_D	_7_h_4_G_0_-_5_H_2_j_13_C	0.530
1r5v_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_2_F_0_-_4_C_2_j_0_-_2_i_6_e_11_F	0.427
5h53_C	_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_m_8_c_9_f_15_k_6_j_8_i_6_j_0_-_0_-_8_i	0.560
4ks7_A	_0_i_0_-_4_E_0_-_0_-_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_h_8_b_0_I_2_G_5_G_6_k_8_F_0_-_2_E_5_A_0_d_6_n_2_A_5_b_0_-_0_B_5_B_0_-_2_b_1_A_13_b_2_c_7_l_9_i_8_b_2_i_10_d_2_d_3_f	0.397
4ich_A	_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c	_0_m_1_b_2_g_3_f_3_p_5_i_7_l_3_m_2_f_7_o_10_e	0.439
4zmh_A	_0_i_0_-_4_E_5_k_8_C_0_-_0_-_8_j_0_-_9_D_6_e_1_d_5_F_2_b_0_-_0_-_2_c_3_C_4_j_0_-_2_c_0_-_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k_3_b_0_-_2_c_2_i	_4_g_15_I_2_H_3_k_17_C_4_C_5_D_6_i_4_k_4_B_6_c_2_h_0_-_12_b_7_n_17_p_6_b_2_B_4_f_8_E_13_b_4_E_17_e_0_-_2_c_5_D_7_f_0_-_4_b_2_l_4_l_4_b_12_i_2_f_4_i	0.397
1xhk_A	_0_i_4_E_5_k_8_C_0_-_0_-_8_j_9_D_0_-_6_e	_3_n_15_F_8_m_7_B_2_A_4_B_4_i_4_D_12_D_2_g	0.369
2alg_A	_7_m_2_k_3_l_6_k_3_b	_0_m_5_k_3_m_5_i_14_b	0.874
3lua_A	_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_0_-_2_c_3_C_4_j	_0_D_3_k_3_D_0_-_2_d_10_A_7_k_1_b_4_D_4_h_4_C_6_i	0.579
1u1i_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_0_-_0_-_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_0_-_2_c_2_c_0_-_7_m_0_-_2_k_3_l	_1_b_11_E_6_j_0_-_4_j_5_A_26_e_4_c_6_B_11_c_2_h_8_j_4_B_9_g_4_C_6_k_4_J_2_d_0_-_3_n_4_G_8_H_1_b_0_-_1_H_2_n_5_A_4_b_11_l	0.368
1dtl_A	_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_c_2_k_4_b_3_i_0_-_6_j_9_j_2_j_6_B_0_g_6_j	0.419
2eh6_A	_4_E_0_-_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_0_-_2_c_0_-_1_c_2_m_2_c	_4_C_2_c_8_k_10_j_5_E_2_m_6_E_7_e_3_b_10_C_0_-_4_d_6_E_2_A_5_A_2_k_2_D_13_d_5_C_1_c_5_E_0_c	0.359
4q2o_A	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j	_0_E_0_-_6_E_0_-_0_b_1_G_0_-_4_c_7_D_2_A_5_g	0.388
6t7e_D	_4_E_5_k_8_C_0_-_8_j_9_D_6_e	_0_F_1_k_5_K_2_K_1_k_8_B_8_i	0.466
2gdz_A	_4_E_5_k_8_C_8_j_0_-_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_1_c_2_m_0_-_2_c_2_c_7_m_2_k	_0_D_4_j_3_E_2_j_5_b_0_D_5_l_0_-_4_C_0_-_9_d_0_-_5_k_1_b_4_E_2_b_7_p_3_G_5_f_0_-_1_o_4_k	0.454
6ixt_B	_0_i_0_-_4_E_0_-_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_0_-_5_F_0_-_0_-_2_b_2_c_3_C_4_j_2_c_0_-_1_c_0_-_2_m_2_c_0_-_0_-_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_2_i_8_A_3_D_2_e_3_k_1_C_7_f_9_f_4_B_17_D_0_-_3_c_1_D_2_F_11_G_4_D_7_l_0_-_2_E_5_k_5_e_10_C_0_i_5_D_1_l_2_b_0_G_5_F_5_g_9_m_0_-_3_n_0_-_0_-_5_c_6_j	0.384
5xyi_K	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_k_1_D_14_k_2_E_0_-_0_-_2_E_0_-_0_-_0_-_1_j	0.411
4tps_D	_0_i_4_E_5_k_8_C_0_-_8_j_9_D	_4_b_8_E_0_-_2_D_3_e_5_j_4_D	0.556
2iut_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_0_-_2_i	_3_E_7_e_1_g_5_B_0_-_8_E_8_d_2_c_6_F_4_D_0_b_0_-_3_C_6_k_7_E_4_c_15_q_4_k_26_E_5_c_0_-_0_-_2_k_0_-_5_F_0_-_9_d_3_D_4_g	0.434
8dfr_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j	_0_G_0_-_4_C_9_j_7_F_0_e_2_b_5_E_12_B_2_h_1_c_2_E_3_h	0.588
7lqn_J	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_0_-_2_c_0_-_3_C_4_j_2_c_0_-_1_c_0_-_2_m_2_c_0_-_2_c_7_m_2_k	_0_D_3_n_7_D_3_l_8_D_1_B_10_g_1_b_0_-_4_b_0_A_8_l_4_D_20_C_2_j_3_b_3_C_2_d_4_D_2_j_8_f_3_D_1_c_0_-_4_i	0.424
3bg1_F	_0_i_4_E_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k_3_b_2_c_2_i	_1_h_1_D_0_-_6_E_3_d_7_j_12_p_1_h_4_h_0_-_4_i_3_i_4_k_9_j_10_d_3_i_8_j_7_i_4_h_0_-_7_j_8_m_3_g_5_k_2_b_7_c_4_n	0.403
1b89_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_0_-_2_c_3_C_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_3_h_0_-_4_j_0_-_2_k_0_-_3_c_9_k_3_c_0_-_5_b_7_g_7_e_5_h_4_i_3_e_9_i_4_k_1_f_3_b_0_-_2_i_7_g_4_k_3_i_5_g_5_j	0.407
1x9f_C	_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l_6_k	_0_l_0_-_0_-_4_n_3_c_1_b_1_b_3_n_4_l_6_m_5_l	0.550
1s4v_A	_0_i_4_E_5_k_0_-_8_C_8_j_9_D_6_e_1_d_0_-_0_-_5_F_0_-_2_b_2_c_3_C	_7_f_0_-_12_j_19_c_8_C_5_i_2_D_0_-_4_c_5_A_9_I_5_E_11_D_8_b_0_-_5_C	0.499
2nrh_B	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m_2_k	_0_D_0_-_3_D_0_-_2_D_0_d_6_D_2_h_3_B_1_b_11_f_5_E_2_G_2_H_1_j_0_-_0_-_17_n_3_C_3_d_0_-_5_B_3_j	0.399
1llp_A	_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_0_-_3_C_4_j_2_c_0_-_0_-_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_6_k_0_-_3_b_2_c	_0_l_0_-_8_k_0_-_4_d_11_c_0_-_1_c_3_b_2_l_3_k_10_A_20_j_3_k_1_A_9_A_10_d_16_A_8_A_0_e_6_d_0_-_0_-_5_l_5_b_1_A_1_b_21_b	0.356
4dgw_C	_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_C_0_-_20_E_0_-_0_-_12_E_9_A_20_d_1_C	0.363
1iug_A	_0_i_4_E_5_k_0_-_8_C_0_-_0_-_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_0_-_0_-_3_C_4_j_2_c_0_-_1_c_0_-_2_m	_2_j_5_E_2_j_3_E_18_D_1_A_4_A_2_j_4_D_0_-_12_b_3_D_9_E_1_d_10_g_10_v_3_A_9_C_6_h_3_A_1_A_2_b_3_C_7_n	0.367
6jo3_A	_0_i_4_E_5_k_8_C_8_j_0_-_9_D_6_e_0_-_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m	_0_i_3_E_6_k_3_C_7_k_4_B_13_F_11_i_4_I_3_e_10_k_3_D_0_-_10_i_4_C_5_i_3_C_1_c_0_-_4_k	0.551
5koh_A	_0_i_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_0_-_4_j_2_c_0_-_1_c_2_m_2_c_0_-_2_c_0_-_7_m_0_-_2_k_0_-_3_l_6_k_3_b	_2_k_5_E_2_d_3_j_2_D_9_l_16_F_5_j_0_-_2_F_4_d_1_b_2_C_2_l_3_B_5_k_3_s_3_C_5_c_0_-_1_e_3_D_6_f_8_B_4_j_3_C_1_h_4_B_3_b_5_l_4_b	0.362
1e69_A	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c	_8_g_20_H_4_H_0_-_4_D_2_B_1_f_12_B_0_g_3_l_3_B_3_B_8_b_2_l_7_D_7_k_4_D_5_c	0.352
4orl_A	_0_i_0_-_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F	_0_h_2_d_4_E_0_-_0_-_0_-_2_E_0_e_2_d_2_J	0.377
6ypu_l	_4_E_0_-_5_k_8_C_8_j_9_D	_5_E_7_c_2_l_5_F_3_j_4_F	0.602
3ut4_A	_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k	_0_b_10_c_4_l_7_i_0_-_1_k_3_k_2_l_6_m	0.632
4otk_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c	_2_l_4_E_9_k_3_F_3_j_5_D_7_h_0_-_3_D_3_b_5_i_0_-_3_j_3_D_3_g_8_g	0.491
3nwj_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_0_-_2_c_2_c_7_m	_0_g_0_-_2_c_4_C_6_j_2_C_0_g_5_g_1_m_3_C_2_d_1_f_3_E_2_h_0_-_0_-_2_n_4_C_0_g_4_b_2_m	0.479
5j45_A	_2_c_7_m_2_k_3_l_6_k_3_b_2_c	_0_g_3_o_4_r_2_l_2_j_0_-_2_d	0.530
1j72_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m	_2_E_5_l_8_E_5_f_25_E_0_-_0_-_6_E_6_b_0_-_5_D_0_-_1_b_0_-_1_E_5_m	0.364
1ysr_A	_4_E_5_k_8_C_0_-_8_j_0_-_9_D_6_e_1_d_5_F	_0_C_0_l_4_C_6_C_1_k_9_H_2_G_6_g_7_h_3_E	0.467
1unl_A	_4_E_5_k_8_C_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_5_G_7_j_10_E_0_-_3_F_3_A_0_f_6_n_2_A_5_b_0_-_0_B_5_B_6_A_0_-_14_b_0_-_2_c_0_-_8_k_12_j_10_b_24_i_4_b_3_c_3_b	0.355
1d00_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_0_-_2_c_3_C_0_-_4_j_2_c	_0_j_6_F_1_h_6_A_0_-_3_A_0_-_0_-_6_F_4_b_3_H_4_b_8_D_8_D_0_-_6_b	0.375
3t3w_A	_4_E_0_-_5_k_8_C_0_-_8_j_9_D_0_-_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_0_-_7_m_2_k_3_l_6_k	_2_E_2_b_5_l_5_E_14_g_6_f_4_D_2_B_0_f_0_-_4_D_0_-_0_-_3_B_0_-_2_c_9_d_0_-_1_i_3_A_0_f_4_B_1_l_0_-_3_m_2_o	0.397
1p91_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_0_-_3_C_4_j_2_c_1_c	_7_e_5_E_2_i_4_C_0_-_13_D_5_f_0_-_5_F_7_b_0_-_17_J_2_A_0_g_4_b_2_h	0.392
1gjh_A	_4_j_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_k_0_-_0_-_22_n_5_c_0_-_0_-_9_j_6_o_4_j_0_-_5_d_4_f	0.396
1kf6_D	_2_m_2_c_2_c_7_m_2_k_3_l	_0_m_1_c_7_b_9_g_2_r_7_n	0.506
4ouq_A	_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_h_2_d_2_H_0_-_0_-_2_E_0_k	0.369
1qgv_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_0_h_5_F_4_m_3_F_0_-_17_E_0_-_0_-_2_E_9_l_0_-_5_B	0.365
2aeu_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_6_k_3_b_2_c_2_i	_0_j_2_b_1_A_11_f_4_m_5_E_2_j_3_D_8_g_0_-_3_D_0_-_2_d_6_E_10_k_3_C_3_f_5_c_3_D_0_-_0_-_0_-_10_E_0_j_7_k_2_k_0_-_0_-_3_i	0.419
7cju_A	_4_E_5_k_8_C_8_j_9_D_6_e_0_-_1_d_5_F_2_b_2_c_3_C_4_j_2_c_0_-_0_-_1_c_2_m_2_c_2_c_7_m_0_-_2_k_3_l_6_k	_12_C_0_k_0_-_6_k_12_B_2_b_7_m_7_f_0_-_7_b_21_b_0_-_2_j_3_n_10_A_4_A_4_b_11_l_0_-_0_-_2_m_4_b_17_k_1_k_6_k	0.450
4eht_B	_4_E_5_k_0_-_8_C_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m_2_c_0_-_2_c_7_m_2_k_3_l	_3_G_7_k_3_b_2_D_11_A_2_j_5_D_0_-_0_-_4_E_0_-_0_-_5_F_7_j_3_g_0_-_13_k_4_p_5_C_1_c_0_-_1_j_9_n	0.419
1p6q_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_C_3_j_6_A_4_h_5_C_8_g_0_-_9_C_0_-_6_i_4_A_5_k	0.476
2qgs_A	_1_c_2_m_2_c_2_c_7_m_2_k_3_l_6_k_3_b_2_c_2_i	_0_e_11_n_6_h_0_-_10_k_5_j_7_j_3_l_10_c_2_d_4_f	0.537
3q10_C	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_0_-_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_7_m_2_k_3_l	_0_B_2_k_4_E_5_j_4_E_3_b_4_c_5_i_4_B_3_c_20_c_3_l_3_D_3_k_4_D_12_d_2_c_0_-_0_-_0_-_0_-_4_k_5_l	0.540
4ljm_A	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D	_7_j_2_G_6_H_2_j_3_A_2_A_0_-_1_D	0.506
1um1_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_F_0_-_7_D_0_-_10_E_0_-_4_d_7_D_0_-_9_h_4_F_3_f	0.402
2c78_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_2_m	_3_e_6_E_0_-_4_E_4_j_5_E_6_j_0_-_5_E_1_b_3_m_9_B_2_i_0_-_0_-_9_l	0.404
1ixx_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C	_4_H_1_j_4_A_5_k_7_E_0_-_24_b_3_C_1_b_0_-_5_B	0.513
3thx_B	_0_i_4_E_0_-_5_k_8_C_0_-_8_j_9_D_6_e_1_d_5_F_0_-_2_b_0_-_0_-_0_-_2_c_3_C_4_j_0_-_2_c_1_c_2_m_2_c_2_c_0_-_0_-_7_m_0_-_2_k_3_l_0_-_6_k_0_-_3_b_2_c_2_i	_0_i_6_D_3_D_0_j_4_B_2_F_0_k_3_E_0_-_3_c_11_F_12_B_2_B_11_F_2_H_4_H_4_i_3_D_4_j_8_D_1_b_2_j_7_l_3_c_2_b_0_B_8_A_1_e_15_d_5_j_5_l_5_f_7_h_5_r_4_f_1_d_1_f	0.363
4u0g_A	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j	_1_f_2_C_5_m_5_F_4_k_4_I_1_f_0_-_6_B_4_C_12_q_3_g_3_C_0_f	0.371
1jff_A	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_0_-_5_F_2_b_2_c_3_C_4_j_0_-_2_c_1_c_2_m_0_-_0_-_2_c_2_c_0_-_0_-_0_-_0_-_7_m_2_k_3_l_6_k_3_b_2_c	_0_E_0_m_12_D_2_h_11_B_0_-_8_d_1_n_5_E_10_j_0_-_6_C_13_j_5_C_2_i_0_-_8_n_9_g_9_B_16_c_1_c_15_I_3_j_14_D_17_H_0_m_3_f_5_l_0_-_0_-_1_c	0.406
1dhs_A	_0_i_0_-_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_0_-_4_j_2_c_1_c_0_-_2_m_2_c_2_c_7_m_2_k_3_l_0_-_6_k_0_-_3_b_0_-_2_c_2_i	_3_i_2_n_7_E_2_c_2_i_5_C_1_h_6_A_6_e_0_-_2_C_0_-_0_-_2_C_1_p_6_j_5_f_0_-_4_A_0_-_0_-_0_-_0_-_7_j_8_j_4_E_3_j_6_D_14_f_9_B_3_j_1_j	0.369
4xpq_A	_4_E_0_-_5_k_0_-_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j_2_c_1_c_0_-_2_m_2_c_0_-_2_c_7_m_0_-_2_k_0_-_3_l_6_k	_30_E_3_F_4_j_8_c_1_C_6_k_5_C_1_b_18_i_3_E_0_-_10_f_8_A_6_k_1_b_0_-_3_C_22_o_7_B_11_B_0_-_6_k_2_A_9_j_5_C_11_l_1_k	0.409
3imi_C	_0_i_0_-_4_E_5_k_8_C_0_-_0_-_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_e_7_C_3_D_0_-_9_D_6_b_2_h_1_j_3_D_0_-_4_b_8_E_14_b_0_-_0_-_3_i	0.456
2gb4_B	_0_i_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_2_b_2_c_3_C_4_j_0_-_2_c_0_-_1_c	_11_i_7_C_7_f_3_D_3_j_3_D_0_-_0_-_7_D_4_D_0_-_5_c_4_E_8_k_0_K_14_g_3_I_3_d	0.493
2gcl_B	_4_E_5_k_8_C_8_j_9_D_6_e_1_d_5_F_0_-_0_-_2_b_2_c_3_C_0_-_0_-_4_j	_5_D_4_f_7_D_0_k_18_D_0_-_0_-_2_F_3_D_4_C_0_b_0_-_3_B_3_G_5_G_0_k	0.356
2ojl_A	_4_E_0_-_5_k_8_C_8_j_9_D_6_e_1_d_5_F_2_b_2_c_3_C_4_j	_0_F_5_d_2_i_2_F_0_-_4_D_0_-_0_-_2_D_0_-_0_c_0_-_5_j	0.392
7ve4_A	_2_c_7_m_2_k_3_l_6_k	_0_c_2_i_5_g_3_l_4_i	0.550
