6ei0_N	_1_j_5_b_12_m_15_q_12_j	_0_q_4_b_1_o_6_q_4_p	0.500
6sj5_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C	_0_k_3_F_9_F_0_-_2_l_7_B_0_-_0_-_6_D_3_F_0_f_1_c_5_C	0.426
6vlm_A	_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n	_0_H_2_G_4_F_0_-_4_k_0_-_0_-_0_-_4_B_4_c_1_i_2_A_7_p_3_k_6_l	0.376
1c6r_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l	_0_j_1_f_11_f_6_i_0_-_0_-_0_-_13_l	0.454
2osa_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_0_g_5_k_0_-_13_m_10_k_0_-_11_h_3_k_3_n_0_-_1_c_3_j_7_n_1_d	0.477
1r5v_B	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_4_C_0_-_2_j_0_-_2_i_6_e_11_F_9_I	0.385
3dpl_R	_2_c_1_C_0_f_5_g_10_C	_0_c_7_C_4_B_0_g_14_B	0.624
5h53_C	_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_m_0_-_0_-_8_c_9_f_15_k_0_-_6_j_0_-_8_i_0_-_6_j_8_i	0.412
4ich_A	_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o	_0_m_1_b_2_g_0_-_3_f_3_p_5_i_0_-_7_l_3_m_2_f_7_o	0.532
4zmh_A	_8_B_0_m_8_k_0_-_2_e_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_0_-_0_-_21_B_0_-_4_D_0_b_0_-_11_e_0_-_0_-_1_j_5_b_12_m_15_q_0_-_12_j_2_B_1_i_5_i_2_f	_1_C_0_-_5_j_10_A_2_b_3_F_4_g_0_-_15_I_2_H_0_-_3_k_0_-_0_-_0_-_17_C_0_-_0_-_4_C_0_-_5_D_6_i_0_-_0_-_4_k_4_B_6_c_2_h_12_b_7_n_17_p_6_b_2_B_4_f_8_E_13_b_4_E_17_e_2_c_5_D_7_f_4_b_2_l_4_l_4_b_12_i_0_-_2_f_4_i_2_h	0.387
2alg_A	_0_k_10_j_8_B_0_m_8_k_2_e	_0_m_5_k_0_-_3_m_5_i_14_b	0.558
3lua_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_D_0_-_0_-_3_k_0_-_3_D_0_-_2_d_10_A_7_k_1_b_0_-_4_D_4_h_4_C_6_i	0.405
1dtl_A	_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_0_-_2_f	_0_c_0_-_2_k_0_-_0_-_4_b_3_i_6_j_0_-_9_j_0_-_2_j_6_B_0_g_6_j_6_B_0_h	0.458
5zwb_A	_0_k_0_-_0_-_10_j_8_B_0_m_8_k_0_-_0_-_2_e_0_-_0_-_2_h_14_i_8_F_2_I_9_c_7_l_5_o	_6_i_4_H_10_B_2_k_8_C_5_m_5_A_4_A_3_A_5_c_5_b_2_A_3_g_6_j_6_F_6_G_3_F_7_k_4_o	0.418
1fs1_D	_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_D_5_D_0_c_3_d_9_A_5_k_6_e_4_k_0_-_2_k_0_-_6_h	0.526
6t7e_D	_0_k_0_-_0_-_10_j_8_B_0_m_8_k	_1_k_5_K_2_K_1_k_8_B_0_-_8_i	0.400
5xyi_K	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_k_1_D_0_-_0_-_14_k_2_E_2_E_0_-_0_-_1_j	0.442
4tps_D	_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_0_m_4_b_8_E_2_D_0_-_3_e_5_j	0.712
3ku3_B	_1_D_2_c_1_g_9_m_0_-_21_B_4_D_0_b_11_e_1_j	_4_D_0_-_0_-_1_o_16_z_0_B_5_B_0_-_5_g_5_k	0.423
7lqn_J	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_0_-_2_c_1_g_0_-_9_m_21_B_4_D_0_-_0_b_0_-_11_e_0_-_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i	_0_D_0_-_3_n_7_D_0_-_0_-_3_l_8_D_1_B_10_g_1_b_4_b_0_A_8_l_4_D_20_C_2_j_3_b_3_C_2_d_4_D_2_j_0_-_0_-_0_-_8_f_3_D_1_c_4_i	0.357
3bg1_F	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b_0_-_12_m	_0_h_41_c_1_h_0_-_1_D_6_E_3_d_7_j_12_p_1_h_4_h_0_-_4_i_3_i_0_-_4_k_0_-_9_j_10_d_3_i_8_j_0_-_7_i_4_h_7_j_8_m_0_-_0_-_0_-_3_g_5_k_2_b_7_c_4_n	0.415
1x9f_C	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_0_l_4_n_3_c_1_b_0_-_1_b_0_-_0_-_0_-_3_n_4_l_0_-_6_m_5_l	0.380
1llp_A	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_l_8_k_4_d_11_c_0_-_1_c_3_b_0_-_2_l_3_k_10_A_20_j_0_-_0_-_3_k_1_A_9_A_10_d_0_-_0_-_16_A_8_A_0_e_6_d_5_l_5_b	0.355
3ut4_A	_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o	_0_b_10_c_0_-_4_l_7_i_0_-_1_k_0_-_3_k_2_l_6_m	0.419
3nwj_A	_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_0_-_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m	_0_g_2_c_4_C_6_j_0_-_2_C_0_g_0_-_5_g_0_-_1_m_0_-_3_C_2_d_1_f_3_E_2_h_2_n_0_-_4_C_0_-_0_g_0_-_4_b_2_m	0.422
1ysr_A	_8_B_0_m_0_-_0_-_8_k_2_e_0_-_2_h_14_i_8_F_2_I	_0_C_0_l_4_C_6_C_1_k_9_H_2_G_6_g_7_h_3_E_5_G	0.427
2y9m_A	_9_m_21_B_0_-_4_D_0_-_0_-_0_-_0_b_11_e_1_j_5_b_12_m	_0_m_13_E_7_F_10_F_10_C_9_A_4_A_2_b_0_-_10_k_9_f_4_m	0.443
1d00_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e_0_-_1_j_5_b	_0_j_6_F_0_-_1_h_0_-_6_A_3_A_6_F_4_b_3_H_4_b_8_D_8_D_6_b	0.365
5b2r_B	_0_k_10_j_8_B_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_0_-_2_c_0_-_0_-_1_C_0_-_0_f_5_g_10_C_2_k_0_-_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_-_0_-_0_b_11_e_1_j_0_-_5_b_0_-_0_-_12_m_15_q_0_-_12_j_0_-_2_B_1_i_0_-_5_i_2_f	_9_i_24_j_0_-_1_l_16_r_2_f_7_d_5_k_4_g_0_-_0_-_10_d_2_l_0_-_4_d_1_h_32_c_2_i_19_j_3_B_7_A_2_f_12_b_15_B_10_i_2_d_1_l_3_k_2_g_11_d_10_e_0_-_8_e_5_g_3_e_5_n_0_-_7_E_3_l_3_c_6_b_1_g_13_e_1_C_11_b_0_C_2_c_8_l_6_f_1_c_4_j_4_k_14_C_2_i_11_n_1_f_4_h	0.394
1gjh_A	_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g	_0_k_22_n_5_c_9_j_0_-_6_o_4_j_0_-_5_d_4_f	0.665
1kf6_D	_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n	_0_m_1_c_7_b_0_-_0_-_9_g_0_-_2_r_7_n	0.404
2aeu_A	_0_k_10_j_8_B_0_-_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j	_0_j_2_b_1_A_11_f_4_m_5_E_2_j_3_D_8_g_0_-_3_D_0_-_2_d_6_E_10_k_0_-_0_-_0_-_3_C_3_f_5_c_3_D_10_E_0_j_7_k_2_k_0_-_0_-_3_i_6_F_3_G_0_-_0_-_2_n_1_A_13_C_0_-_3_d_2_l	0.365
4eht_B	_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_0_-_0_-_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_4_F_3_G_0_-_7_k_0_-_3_b_0_-_2_D_11_A_2_j_0_-_5_D_4_E_5_F_7_j_3_g_13_k_0_-_4_p_0_-_5_C_1_c_1_j_9_n	0.397
1p6q_A	_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k	_0_C_3_j_6_A_4_h_5_C_8_g_9_C_6_i_4_A_0_-_5_k	0.427
1ixx_A	_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_9_m_21_B_4_D	_1_j_4_A_0_-_5_k_7_E_24_b_3_C_1_b_0_-_5_B_5_F	0.367
2ojl_A	_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j	_0_F_5_d_2_i_0_-_2_F_4_D_2_D_0_-_0_c_5_j	0.586
7ve4_A	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j	_0_c_0_-_2_i_5_g_0_-_3_l_0_-_4_i	0.443
4c81_A	_8_F_2_I_0_-_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f	_5_C_2_H_6_k_4_c_3_l_2_J_5_l_3_b_0_-_0_E_5_c	0.454
3lga_A	_2_c_0_-_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_1_g_0_-_9_m_21_B_4_D	_0_b_8_B_5_D_3_f_9_j_6_D_0_-_0_-_5_i_4_E_0_-_2_k_6_D_2_b_6_E_4_j_0_J_2_k_8_B_6_B	0.365
6kcz_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D	_0_f_15_B_7_A_7_g_0_-_4_C_4_C	0.362
3u80_A	_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_2_k	_0_F_0_-_0_-_5_l_2_F_3_k_0_-_0_-_3_C_8_j_0_-_4_D_12_C_4_k	0.351
4hea_R	_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o	_0_n_3_o_4_d_0_-_0_-_0_-_9_i_0_-_0_-_15_n_15_g_4_o	0.427
1g2t_A	_2_c_0_-_1_C_0_f_5_g_10_C_2_k	_0_b_0_E_9_D_0_-_0_-_4_C_4_h	0.361
1nkt_A	_10_j_8_B_0_m_8_k_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_0_-_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_0_-_1_j_0_-_5_b_0_-_12_m_15_q_12_j_2_B_1_i_0_-_5_i_0_-_2_f	_0_j_0_-_4_l_0_-_1_d_3_l_7_n_5_j_2_C_0_-_6_c_1_g_5_D_2_m_0_-_0_-_4_B_0_-_6_h_2_D_0_j_5_b_7_C_9_b_0_-_0_-_2_E_4_k_6_C_4_C_0_-_1_j_12_k_6_B_4_C_16_g_8_F_1_d_4_E_3_j_2_C_9_A_3_B_2_m_4_D_2_k_5_B_4_h_7_D_14_j_8_m_2_g	0.379
3m0g_A	_8_k_2_e_2_h_14_i_0_-_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o	_0_k_2_c_5_c_10_j_8_l_7_A_2_A_1_c_2_m_0_-_3_b_2_l_0_-_5_h_8_g_0_-_5_k_4_m_6_d_3_l_1_m	0.469
2esk_A	_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_-_0_b_11_e_1_j_5_b_12_m	_0_l_5_D_0_-_0_-_0_-_6_F_10_F_10_C_13_A_2_b_0_-_9_k_9_h_1_l	0.395
4ywj_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_0_-_0_-_0_-_7_k_1_D_2_c	_4_j_5_F_0_-_11_c_0_-_8_B_0_-_2_c_5_C_3_k_3_C_6_i_4_C_0_-_5_n_1_G_9_k_4_c_0_A_14_F_5_H_2_H_3_k_6_B_1_c	0.397
2okc_B	_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e_1_j_5_b	_0_l_5_k_2_c_13_c_4_l_0_-_0_-_3_e_10_g_10_l_0_-_6_c_3_d_11_B_6_g_8_g_2_D_2_f_0_-_3_b_0_-_8_B_0_-_13_C_25_f_7_F_0_d_0_-_3_j_0_G_12_G_5_E_15_j_15_D_0_d_0_-_2_b	0.381
5wtp_A	_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_j_14_k_7_E_0_-_0_-_0_-_6_o_4_b_0_-_0_F_10_f_0_-_1_F	0.378
1tdp_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g	_0_k_0_-_0_-_2_c_2_l_4_m_10_b_0_-_0_-_1_j_4_h	0.396
4uc1_A	_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o	_0_i_1_g_0_-_5_d_11_n_6_m_8_p_3_q	0.504
3agt_A	_2_j_5_o_0_-_2_o_7_k_1_D_2_c_1_g	_0_b_3_o_3_r_5_o_4_m_0_-_0_-_6_h	0.452
2e74_B	_5_g_10_C_2_k_2_n_2_j_5_o_2_o	_0_h_0_-_11_c_3_n_21_j_4_p_9_n	0.576
3q85_A	_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_6_h_0_-_3_G_2_G_6_d_0_-_2_F_3_d_1_j_7_E_4_b_4_i_3_C_8_k	0.474
1x9f_A	_2_k_2_n_2_j_5_o_0_-_2_o_7_k	_0_k_6_m_1_f_11_m_5_l_6_m_5_l	0.584
6kdv_B	_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_2_D_6_C_4_A_1_h_0_-_3_C_6_B_0_-_0_-_9_j_1_f_19_n_18_p_16_i_0_-_5_i_4_l_6_d	0.385
16pk_A	_8_B_0_m_0_-_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_0_-_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_0_-_0_-_4_D_0_b_11_e_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_2_A_3_l_3_D_10_h_8_b_0_-_2_j_4_B_0_-_6_d_0_-_6_C_2_b_1_c_3_j_4_D_1_b_10_d_3_A_1_k_6_D_0_-_0_-_0_-_5_k_2_C_0_-_3_h_10_l_3_B_4_C_9_A_10_D_0_-_0_-_1_j_4_D_8_b_1_m_2_C_2_h_8_A_0_-_3_g_5_c	0.369
5hgk_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m	_0_B_0_-_0_-_5_B_4_k_5_g_5_h_0_-_5_o_0_-_0_-_17_c_6_g_7_o	0.387
1rl1_A	_1_D_0_-_2_c_1_g_9_m_21_B_0_-_4_D_0_b	_0_D_3_E_6_b_0_-_0_-_0_C_5_E_5_E_7_b	0.413
1oep_A	_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_0_-_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_0_-_0_-_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j_2_B_1_i	_0_G_5_H_2_E_20_b_0_-_0_-_3_e_5_c_0_-_7_j_9_n_3_h_8_A_1_D_1_b_8_D_0_-_6_p_1_b_18_j_6_D_2_c_0_A_4_A_10_i_0_-_0_-_2_D_0_-_7_g_7_C_7_i_4_C_1_c_2_k_3_D_9_h_3_B_6_m	0.361
4be4_A	_8_F_2_I_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_-_0_f_5_g_10_C_0_-_2_k_2_n_0_-_2_j_0_-_5_o_2_o_7_k_1_D_0_-_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_0_-_1_j_0_-_5_b_12_m_15_q_12_j_2_B_0_-_1_i_5_i_2_f	_2_G_2_G_6_b_13_B_18_e_0_-_1_d_1_b_11_F_8_F_9_b_3_h_5_D_5_c_3_d_5_n_1_J_1_l_2_A_2_A_0_-_0_-_3_D_12_k_7_d_4_h_27_e_0_-_8_E_4_c_8_j_6_g_24_h_5_k_5_E_16_c_8_l_0_-_15_c_1_D_4_D_4_h_0_-_1_c	0.362
3wc4_A	_8_B_0_m_0_-_8_k_0_-_2_e_2_h_0_-_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_0_-_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_0_-_4_D_0_b_0_-_11_e_0_-_1_j_5_b_12_m_15_q_12_j	_0_D_4_m_4_F_0_g_8_E_15_f_2_l_5_D_4_h_3_D_0_-_3_g_1_i_0_-_17_b_2_c_0_-_7_f_1_f_2_C_3_b_0_-_2_i_3_B_6_b_9_e_6_D_8_k_3_C_2_e_4_d_0_-_3_C_4_d_4_E_3_h_4_B_6_e_8_B_7_j_0_-_2_n_0_-_5_l	0.391
2onf_A	_8_F_2_I_9_c_7_l_5_o_0_-_0_-_3_c_2_c_1_C_0_f_5_g_10_C	_4_E_2_E_2_b_0_-_8_o_4_K_5_K_1_e_5_d_0_-_1_e_0_-_4_H	0.384
3eng_A	_1_D_0_-_2_c_1_g_9_m_21_B_0_-_4_D_0_b_11_e_1_j_0_-_0_-_5_b	_7_C_2_H_5_c_0_-_0_-_3_E_8_H_7_D_11_d_13_e_2_j_9_F_3_f_6_b	0.396
3asz_A	_8_B_0_m_0_-_8_k_2_e_2_h_14_i_8_F_0_-_2_I_0_-_0_-_9_c_0_-_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_0_F_5_l_0_D_0_b_9_e_5_b_2_j_4_B_2_A_4_A_4_B_4_D_7_c_4_E_2_l_0_-_4_f_5_b_0_-_5_e_0_-_2_C_5_j	0.405
2g3a_A	_14_i_8_F_2_I_0_-_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C	_0_n_5_G_5_I_2_G_8_e_0_-_0_-_2_e_0_-_4_C_0_-_2_i_2_E	0.365
6m8t_A	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_5_k_3_E_0_-_1_i_6_d_0_-_2_C_6_b_8_E_1_h_5_j_0_-_4_D_0_-_6_j_3_A_13_l	0.382
1nfj_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_0_C_0_-_5_k_4_F_0_-_2_j_9_J_9_J	0.354
1qkl_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I	_0_E_18_m_0_-_0_-_15_h_0_-_4_F_3_E	0.435
3glv_A	_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_10_C_2_k	_6_j_4_E_0_-_2_e_0_-_0_-_8_g_0_-_7_C_0_-_5_g_3_C_4_k	0.390
1yvi_A	_2_n_2_j_5_o_2_o_7_k	_0_m_5_i_4_p_6_m_2_l	0.707
1tuw_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_1_k_4_d_0_-_0_-_3_F_2_G_4_e_4_j_2_B_7_c	0.458
2bl5_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_0_-_0_-_7_l_5_o_3_c_2_c	_0_E_0_-_0_-_10_d_0_-_4_j_1_E_0_-_7_d_5_c_6_E_4_m_9_f_1_b_7_c	0.373
4ix7_A	_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c	_0_c_7_j_2_e_0_-_0_-_8_b_11_l_3_l_2_d	0.452
1rxw_A	_3_c_0_-_2_c_1_C_0_f_0_-_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_c_3_A_2_c_3_D_0_j_17_d_5_e_2_E_0_-_5_r_4_g_0_-_0_-_4_k_4_B_0_-_4_i_5_B_4_c_4_C_8_C_0_-_0_g_3_j_0_-_0_-_0_-_12_j_0_-_2_g_3_g_16_d	0.361
1ujk_A	_2_c_1_g_0_-_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j	_0_b_4_g_9_j_5_k_0_-_0_-_4_l_4_f_2_j_5_b_2_m_0_-_4_j	0.497
5u9p_C	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_0_-_12_j_2_B_1_i_5_i_2_f	_0_d_5_C_5_j_0_-_3_E_2_k_4_D_0_-_0_-_0_-_5_k_5_C_9_b_2_g_5_l_0_-_2_E_0_-_0_-_0_-_2_b_0_-_7_p_1_G_5_f_0_-_2_i_8_j_1_b	0.357
1eue_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_-_0_b_11_e_1_j_0_-_5_b	_0_A_1_c_3_A_0_-_2_E_2_C_1_e_5_c_7_f_3_i_0_D_1_b	0.459
3kbb_A	_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i_0_-_5_i	_0_C_7_k_6_e_4_f_0_-_9_n_6_i_3_C_0_-_5_i_0_-_0_-_0_-_3_b_5_b_8_i_3_b_0_-_0_D_2_h_5_C_7_d_4_B_1_j	0.369
4pug_B	_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b	_0_k_3_E_1_b_0_-_0_-_0_-_6_F_1_b_0_-_4_j_1_c	0.414
2ca1_A	_9_c_7_l_5_o_3_c_2_c_1_C_0_f_5_g_0_-_10_C_0_-_2_k	_0_d_0_-_0_-_3_b_9_c_0_-_13_h_1_f_5_a_6_F_2_F_11_j	0.419
1lv7_A	_1_C_0_-_0_f_5_g_0_-_10_C_2_k_2_n_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_0_-_1_j_5_b_12_m_15_q_12_j	_0_B_6_b_4_e_1_g_1_b_5_D_0_-_0_-_6_j_3_C_0_-_13_j_4_D_2_c_0_-_13_k_0_-_7_F_0_-_7_c_6_C_5_j_10_e_6_m_0_-_7_j	0.427
4x55_B	_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_5_g_10_C_0_-_0_-_0_-_2_k	_0_h_0_-_4_F_2_E_2_d_5_k_23_f_2_p_13_c_0_-_0_-_6_j_7_g_3_D_2_I_4_I_5_I_7_j	0.488
2jn6_A	_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_5_o_3_c_2_c	_0_j_2_b_2_g_3_j_0_-_0_-_12_c_1_h_0_-_1_e_6_c	0.426
1vkc_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_0_-_2_I_9_c_7_l_5_o_3_c_2_c_1_C_0_f	_0_D_1_m_6_m_0_-_0_-_0_-_2_H_4_J_6_I_1_b_4_l_0_-_0_-_0_-_5_B_7_f	0.363
1jbk_A	_2_c_1_C_0_f_5_g_10_C_2_k_2_n_0_-_2_j_5_o_2_o_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_0_e_0_B_0_e_10_j_6_D_6_k_4_b_3_D_1_d_0_-_5_m_0_-_4_E_1_c_6_h_0_-_0_-_5_D_1_c_7_c	0.409
1hjq_A	_1_C_0_f_5_g_10_C_2_k_2_n_2_j_5_o_0_-_2_o_0_-_7_k_0_-_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e_1_j_5_b_12_m_15_q_12_j_2_B_1_i	_0_D_3_e_14_f_4_E_10_k_3_E_0_-_21_o_5_C_17_l_8_E_5_k_4_b_2_D_0_-_0_-_10_l_0_-_2_E_0_-_0_-_0_-_15_b_6_m_3_F_4_b_17_A_1_h	0.384
4mno_A	_1_D_2_c_1_g_9_m_21_B_4_D_0_b_11_e	_4_D_2_c_0_-_0_-_9_E_7_F_2_h_5_e	0.417
3ju8_A	_8_B_0_m_8_k_2_e_2_h_14_i_8_F_2_I_9_c_7_l_0_-_5_o_3_c_2_c_1_C_0_f_0_-_5_g_10_C_0_-_2_k_0_-_2_n_2_j_0_-_5_o_2_o_0_-_7_k_1_D_2_c_1_g_9_m_21_B_4_D_0_b_0_-_11_e	_6_E_3_n_2_m_1_j_3_h_2_k_3_D_2_H_2_D_7_k_2_D_5_k_0_-_0_-_7_B_4_g_6_C_3_i_7_C_4_D_5_m_5_F_2_l_18_l_3_C_13_C_0_-_15_F_2_h_6_D_0_-_3_i_0_-_4_C_11_A_3_b_5_A_2_d	0.385
7ml4_D	_5_b_12_m_15_q_12_j_2_B_1_i_5_i_2_f	_0_b_21_o_2_l_5_k_0_-_6_j_4_h_5_f	0.611
4a56_A	_0_k_10_j_8_B_0_m_8_k_2_e_2_h	_0_o_8_l_0_-_6_m_4_j_0_-_1_g	0.481
